,Iteration,Fitness,Time,State,max_iters,temperature,init_state,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,18.037291621220774,0.19001520299980257,"[-6938916024.677062, -6846286779.811854, 9709822283.663052, 8089954616.105873, -6278434746.659181, -4645809711.736766, -3318976850.232418, 2891837418.6504917, -4971855184.841873, 2704127747.7589836, 1595955576.8265858, 2376224456.8590794, -2644557480.463441, -4836654153.051087, -6112996199.371068, 1050407931.0010624, 6512616033.360514, 69004057.48716927, 3751197536.7918797, 5190978196.190504, 2846079786.1178837, -2299913788.0106964, -8397922062.84095, 6149796833.843353, 6229480290.778954, -8983419235.82234, 1885035549.6784916, 9365247662.48058, 9724345004.45092, 6395958176.831045, 3797627111.895691, 2464768174.368559, 1984612789.5750103]",512,10,"[-0.25592215359514925, -0.40004485700622183, -0.8282868286065468, -0.4385157174579206, 0.15714576909059041, -0.3448253858474082, 0.18227994407338843, -0.9357420121224578, 0.9553066626625728, -0.7212049674425063, -0.44441402204724034, -0.17839713015788194, 0.3958620987775954, -0.7794709267129023, 0.6496191297034009, -0.614461968679306, 0.5783365284840591, -0.010865664872843794, 0.674714193101863, -0.06644706861131144, 0.7669391022453218, 0.8498282893721143, -0.8447306674202553, 0.5463182184428745, 0.138664267793273, 0.15205359379365868, 0.08369171333206826, 0.10641358996997385, -0.32956499139369155, -0.7826612844353313, 0.3569393253444355, 0.5228008741824126, 0.5460279668953467]",ga,relu,True,True,10000000000.0,"[3, 3]",0.001,100
1,256,0.07324081924454265,44.30661592599972,"[-9071041148.870245, -3592627853.1368074, -3473603431.136671, 2112969849.4339523, -6869586087.840691, -2017000704.4526625, -4322397919.02537, 8195736066.19408, 1980265663.6881294, -9881772127.370106, 8131825929.420219, -1866467312.7185564, -9984995181.665731, -5825487431.584759, 5065268202.175446, 7203403843.076557, -5374159787.56939, -40216197.52297974, -3263482065.7863646, -7941463225.677432, 540350291.3622704, 133858931.67583656, 8643437871.879353, -932792193.3376198, 4880060913.936684, -8375229134.26187, -5387737626.30244, -4561253283.755797, 226301703.3111763, -3313325406.8723583, -9995438635.433004, -9704834729.437502, -2359335232.036208]",512,10,"[-0.25592215359514925, -0.40004485700622183, -0.8282868286065468, -0.4385157174579206, 0.15714576909059041, -0.3448253858474082, 0.18227994407338843, -0.9357420121224578, 0.9553066626625728, -0.7212049674425063, -0.44441402204724034, -0.17839713015788194, 0.3958620987775954, -0.7794709267129023, 0.6496191297034009, -0.614461968679306, 0.5783365284840591, -0.010865664872843794, 0.674714193101863, -0.06644706861131144, 0.7669391022453218, 0.8498282893721143, -0.8447306674202553, 0.5463182184428745, 0.138664267793273, 0.15205359379365868, 0.08369171333206826, 0.10641358996997385, -0.32956499139369155, -0.7826612844353313, 0.3569393253444355, 0.5228008741824126, 0.5460279668953467]",ga,relu,True,True,10000000000.0,"[3, 3]",0.001,100
2,512,0.036620409622272386,85.84752368199997,"[-9071041148.870245, -4324727979.23207, -3079222903.7992144, 5804469157.534918, -6351226102.214409, -2017000704.4526625, -4957586740.40695, 8292641515.147682, 1604253642.9492989, -8828551145.27584, 6963604513.322641, -2917385184.3600836, 63228927.97848129, -4808199910.59525, 5352070458.1949005, 1466180865.7817059, -8097617146.135508, -3907424456.8271017, -3263482065.7863646, -7288709027.674795, 540350291.3622704, 133858931.67583656, 8643437871.879353, -838992395.6338501, 4346088979.193331, -8375229134.26187, 1832953979.9082775, -4561253283.755797, 226301703.3111763, -3313325406.8723583, -9272787000.3294, 4489466081.037722, 9971328577.443459]",512,10,"[-0.25592215359514925, -0.40004485700622183, -0.8282868286065468, -0.4385157174579206, 0.15714576909059041, -0.3448253858474082, 0.18227994407338843, -0.9357420121224578, 0.9553066626625728, -0.7212049674425063, -0.44441402204724034, -0.17839713015788194, 0.3958620987775954, -0.7794709267129023, 0.6496191297034009, -0.614461968679306, 0.5783365284840591, -0.010865664872843794, 0.674714193101863, -0.06644706861131144, 0.7669391022453218, 0.8498282893721143, -0.8447306674202553, 0.5463182184428745, 0.138664267793273, 0.15205359379365868, 0.08369171333206826, 0.10641358996997385, -0.32956499139369155, -0.7826612844353313, 0.3569393253444355, 0.5228008741824126, 0.5460279668953467]",ga,relu,True,True,10000000000.0,"[3, 3]",0.001,100
3,1024,0.036620409622272386,85.84752368199997,"[-9071041148.870245, -4324727979.23207, -3079222903.7992144, 5804469157.534918, -6351226102.214409, -2017000704.4526625, -4957586740.40695, 8292641515.147682, 1604253642.9492989, -8828551145.27584, 6963604513.322641, -2917385184.3600836, 63228927.97848129, -4808199910.59525, 5352070458.1949005, 1466180865.7817059, -8097617146.135508, -3907424456.8271017, -3263482065.7863646, -7288709027.674795, 540350291.3622704, 133858931.67583656, 8643437871.879353, -838992395.6338501, 4346088979.193331, -8375229134.26187, 1832953979.9082775, -4561253283.755797, 226301703.3111763, -3313325406.8723583, -9272787000.3294, 4489466081.037722, 9971328577.443459]",512,10,"[-0.25592215359514925, -0.40004485700622183, -0.8282868286065468, -0.4385157174579206, 0.15714576909059041, -0.3448253858474082, 0.18227994407338843, -0.9357420121224578, 0.9553066626625728, -0.7212049674425063, -0.44441402204724034, -0.17839713015788194, 0.3958620987775954, -0.7794709267129023, 0.6496191297034009, -0.614461968679306, 0.5783365284840591, -0.010865664872843794, 0.674714193101863, -0.06644706861131144, 0.7669391022453218, 0.8498282893721143, -0.8447306674202553, 0.5463182184428745, 0.138664267793273, 0.15205359379365868, 0.08369171333206826, 0.10641358996997385, -0.32956499139369155, -0.7826612844353313, 0.3569393253444355, 0.5228008741824126, 0.5460279668953467]",ga,relu,True,True,10000000000.0,"[3, 3]",0.001,100
4,2048,0.036620409622272386,85.84752368199997,"[-9071041148.870245, -4324727979.23207, -3079222903.7992144, 5804469157.534918, -6351226102.214409, -2017000704.4526625, -4957586740.40695, 8292641515.147682, 1604253642.9492989, -8828551145.27584, 6963604513.322641, -2917385184.3600836, 63228927.97848129, -4808199910.59525, 5352070458.1949005, 1466180865.7817059, -8097617146.135508, -3907424456.8271017, -3263482065.7863646, -7288709027.674795, 540350291.3622704, 133858931.67583656, 8643437871.879353, -838992395.6338501, 4346088979.193331, -8375229134.26187, 1832953979.9082775, -4561253283.755797, 226301703.3111763, -3313325406.8723583, -9272787000.3294, 4489466081.037722, 9971328577.443459]",512,10,"[-0.25592215359514925, -0.40004485700622183, -0.8282868286065468, -0.4385157174579206, 0.15714576909059041, -0.3448253858474082, 0.18227994407338843, -0.9357420121224578, 0.9553066626625728, -0.7212049674425063, -0.44441402204724034, -0.17839713015788194, 0.3958620987775954, -0.7794709267129023, 0.6496191297034009, -0.614461968679306, 0.5783365284840591, -0.010865664872843794, 0.674714193101863, -0.06644706861131144, 0.7669391022453218, 0.8498282893721143, -0.8447306674202553, 0.5463182184428745, 0.138664267793273, 0.15205359379365868, 0.08369171333206826, 0.10641358996997385, -0.32956499139369155, -0.7826612844353313, 0.3569393253444355, 0.5228008741824126, 0.5460279668953467]",ga,relu,True,True,10000000000.0,"[3, 3]",0.001,100
5,4096,0.036620409622272386,85.84752368199997,"[-9071041148.870245, -4324727979.23207, -3079222903.7992144, 5804469157.534918, -6351226102.214409, -2017000704.4526625, -4957586740.40695, 8292641515.147682, 1604253642.9492989, -8828551145.27584, 6963604513.322641, -2917385184.3600836, 63228927.97848129, -4808199910.59525, 5352070458.1949005, 1466180865.7817059, -8097617146.135508, -3907424456.8271017, -3263482065.7863646, -7288709027.674795, 540350291.3622704, 133858931.67583656, 8643437871.879353, -838992395.6338501, 4346088979.193331, -8375229134.26187, 1832953979.9082775, -4561253283.755797, 226301703.3111763, -3313325406.8723583, -9272787000.3294, 4489466081.037722, 9971328577.443459]",512,10,"[-0.25592215359514925, -0.40004485700622183, -0.8282868286065468, -0.4385157174579206, 0.15714576909059041, -0.3448253858474082, 0.18227994407338843, -0.9357420121224578, 0.9553066626625728, -0.7212049674425063, -0.44441402204724034, -0.17839713015788194, 0.3958620987775954, -0.7794709267129023, 0.6496191297034009, -0.614461968679306, 0.5783365284840591, -0.010865664872843794, 0.674714193101863, -0.06644706861131144, 0.7669391022453218, 0.8498282893721143, -0.8447306674202553, 0.5463182184428745, 0.138664267793273, 0.15205359379365868, 0.08369171333206826, 0.10641358996997385, -0.32956499139369155, -0.7826612844353313, 0.3569393253444355, 0.5228008741824126, 0.5460279668953467]",ga,relu,True,True,10000000000.0,"[3, 3]",0.001,100
6,8192,0.036620409622272386,85.84752368199997,"[-9071041148.870245, -4324727979.23207, -3079222903.7992144, 5804469157.534918, -6351226102.214409, -2017000704.4526625, -4957586740.40695, 8292641515.147682, 1604253642.9492989, -8828551145.27584, 6963604513.322641, -2917385184.3600836, 63228927.97848129, -4808199910.59525, 5352070458.1949005, 1466180865.7817059, -8097617146.135508, -3907424456.8271017, -3263482065.7863646, -7288709027.674795, 540350291.3622704, 133858931.67583656, 8643437871.879353, -838992395.6338501, 4346088979.193331, -8375229134.26187, 1832953979.9082775, -4561253283.755797, 226301703.3111763, -3313325406.8723583, -9272787000.3294, 4489466081.037722, 9971328577.443459]",512,10,"[-0.25592215359514925, -0.40004485700622183, -0.8282868286065468, -0.4385157174579206, 0.15714576909059041, -0.3448253858474082, 0.18227994407338843, -0.9357420121224578, 0.9553066626625728, -0.7212049674425063, -0.44441402204724034, -0.17839713015788194, 0.3958620987775954, -0.7794709267129023, 0.6496191297034009, -0.614461968679306, 0.5783365284840591, -0.010865664872843794, 0.674714193101863, -0.06644706861131144, 0.7669391022453218, 0.8498282893721143, -0.8447306674202553, 0.5463182184428745, 0.138664267793273, 0.15205359379365868, 0.08369171333206826, 0.10641358996997385, -0.32956499139369155, -0.7826612844353313, 0.3569393253444355, 0.5228008741824126, 0.5460279668953467]",ga,relu,True,True,10000000000.0,"[3, 3]",0.001,100
7,16384,0.036620409622272386,85.84752368199997,"[-9071041148.870245, -4324727979.23207, -3079222903.7992144, 5804469157.534918, -6351226102.214409, -2017000704.4526625, -4957586740.40695, 8292641515.147682, 1604253642.9492989, -8828551145.27584, 6963604513.322641, -2917385184.3600836, 63228927.97848129, -4808199910.59525, 5352070458.1949005, 1466180865.7817059, -8097617146.135508, -3907424456.8271017, -3263482065.7863646, -7288709027.674795, 540350291.3622704, 133858931.67583656, 8643437871.879353, -838992395.6338501, 4346088979.193331, -8375229134.26187, 1832953979.9082775, -4561253283.755797, 226301703.3111763, -3313325406.8723583, -9272787000.3294, 4489466081.037722, 9971328577.443459]",512,10,"[-0.25592215359514925, -0.40004485700622183, -0.8282868286065468, -0.4385157174579206, 0.15714576909059041, -0.3448253858474082, 0.18227994407338843, -0.9357420121224578, 0.9553066626625728, -0.7212049674425063, -0.44441402204724034, -0.17839713015788194, 0.3958620987775954, -0.7794709267129023, 0.6496191297034009, -0.614461968679306, 0.5783365284840591, -0.010865664872843794, 0.674714193101863, -0.06644706861131144, 0.7669391022453218, 0.8498282893721143, -0.8447306674202553, 0.5463182184428745, 0.138664267793273, 0.15205359379365868, 0.08369171333206826, 0.10641358996997385, -0.32956499139369155, -0.7826612844353313, 0.3569393253444355, 0.5228008741824126, 0.5460279668953467]",ga,relu,True,True,10000000000.0,"[3, 3]",0.001,100
