mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9202995777130127,0.31960587279333025,0.0018776416778564452,9.924728289258953e-05,1e-05,"(50, 50, 50)","{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50)}",0.5015492597232888,0.4860287948905307,0.5043368244431815,0.5202793883294341,0.5090733394364765,0.5042456608231694,0.011127641439024838,8
2.259775400161743,0.5835379255484621,0.003296947479248047,0.00037393451983327314,1e-05,"(100, 100, 100)","{'alpha': 1e-05, 'hidden_layer_sizes': (100, 100, 100)}",0.504243624459443,0.5194108413845363,0.5000202971502801,0.5236496795849863,0.5100464517004034,0.5114666312863589,0.008907024541407738,1
2.825011396408081,0.8115097664149492,0.003965139389038086,2.5944937196873084e-05,1e-05,"(150, 150, 150)","{'alpha': 1e-05, 'hidden_layer_sizes': (150, 150, 150)}",0.4919977367336216,0.5029092582068144,0.5019349949933697,0.5120062387685214,0.48988234496321165,0.49974075751446567,0.008028045515664451,15
3.703294277191162,0.599988591851637,0.005773305892944336,0.001229243845613421,1e-05,"(200, 200, 200)","{'alpha': 1e-05, 'hidden_layer_sizes': (200, 200, 200)}",0.49591803742472623,0.5077196828231982,0.4968471759898243,0.47936798562370725,0.4906486284881158,0.4941068348425903,0.009219101264796876,21
5.324491357803344,0.9398437244319483,0.0076103687286376955,0.001304104030097934,1e-05,"(250, 250, 250)","{'alpha': 1e-05, 'hidden_layer_sizes': (250, 250, 250)}",0.50436487087257,0.5078820600254391,0.4890868988660659,0.5290136642593158,0.5143966364900145,0.5089384427017816,0.01302565476251907,2
1.5381763458251954,0.28251686079302374,0.0019177913665771485,0.00016201481184944242,0.0001,"(50, 50, 50)","{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50)}",0.4842918535882202,0.48815999566994134,0.4736813618034694,0.5224053165157834,0.5125589122842708,0.4961996135646653,0.018258495184224274,18
2.352682113647461,0.4659595586157084,0.0031458377838134766,4.5745213159354374e-05,0.0001,"(100, 100, 100)","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100)}",0.506355332821404,0.4818205190657898,0.5031866525939758,0.5251246058386736,0.5069813176007866,0.5046878786207137,0.013785826845793056,6
2.8992463111877442,0.8173907292191891,0.004406929016113281,0.00045179690404435405,0.0001,"(150, 150, 150)","{'alpha': 0.0001, 'hidden_layer_sizes': (150, 150, 150)}",0.4905293079524175,0.5050945847203052,0.504228572975021,0.5120062387685214,0.48775641677686227,0.49991742422675706,0.009245312100124461,13
4.656319856643677,1.158891106534258,0.005216264724731445,9.796185099726339e-05,0.0001,"(200, 200, 200)","{'alpha': 0.0001, 'hidden_layer_sizes': (200, 200, 200)}",0.49591803742472623,0.4679981597250413,0.47592081405104053,0.48007662835249043,0.48840741870952425,0.4816712032776506,0.009710268925382164,25
5.050490760803223,0.8696101601726224,0.006537818908691406,0.00033167216026030826,0.0001,"(250, 250, 250)","{'alpha': 0.0001, 'hidden_layer_sizes': (250, 250, 250)}",0.5021319160974821,0.5026927552704934,0.5025912695190929,0.5246465262943749,0.5107381412538569,0.5085508040716848,0.008655864983318263,3
1.6376302242279053,0.2182276549111257,0.0019099712371826172,0.00010419333817387363,0.001,"(50, 50, 50)","{'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 50)}",0.49356383623651134,0.4838434683770399,0.47220643554978214,0.5201641067371918,0.505530125792561,0.49505004766434874,0.016667770500668134,20
2.699798250198364,0.6221554540325183,0.0038109302520751955,0.0007248615464130292,0.001,"(100, 100, 100)","{'alpha': 0.001, 'hidden_layer_sizes': (100, 100, 100)}",0.506355332821404,0.48176639333170956,0.5076114313550377,0.5127148814973045,0.5047401078221951,0.5026362089093396,0.010770540155727695,10
2.9840346813201903,1.3310845496195765,0.004131603240966797,0.00016809834773011612,0.001,"(150, 150, 150)","{'alpha': 0.001, 'hidden_layer_sizes': (150, 150, 150)}",0.48248326125907665,0.4991948797055559,0.5004600687396823,0.5154918116163157,0.5034618384023327,0.5002022081339638,0.010583133603561777,12
4.496031188964844,1.5391178156352736,0.0058479785919189455,0.0005846482759832878,0.001,"(200, 200, 200)","{'alpha': 0.001, 'hidden_layer_sizes': (200, 200, 200)}",0.49527475784396935,0.5077196828231982,0.503842927119699,0.49607025395856646,0.48993998575933273,0.4985708805656149,0.006372073649158981,17
5.338469171524048,0.6112217337177072,0.007709598541259766,0.0013847435357885562,0.001,"(250, 250, 250)","{'alpha': 0.001, 'hidden_layer_sizes': (250, 250, 250)}",0.48159748885206594,0.5035114069984574,0.4890868988660659,0.52977994778422,0.5136879937612315,0.5035087134308988,0.017217056202723444,9
1.6164857387542724,0.3317616939577472,0.0021467685699462892,0.00047829950688774424,0.01,"(50, 50, 50)","{'alpha': 0.01, 'hidden_layer_sizes': (50, 50, 50)}",0.48187702919344194,0.4824226678574328,0.4700211090362913,0.5246465262943749,0.5103177025056793,0.4938356865671407,0.020297613948314926,24
2.5459298133850097,0.3989611697939997,0.003351449966430664,0.00029258096226829995,0.01,"(100, 100, 100)","{'alpha': 0.01, 'hidden_layer_sizes': (100, 100, 100)}",0.49947459887644996,0.48023734134394197,0.5038970528537793,0.531732953582206,0.5092801681754993,0.5049118289771523,0.0165943468434474,5
