ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
abalone-ternary,KMeans-RP,2,0.03068068492912986,0.07467324974051089,0.020107853792632482,0.028968095779418945
abalone-ternary,KMeans-RP,3,0.07387418591728022,0.06397695788157136,0.06596273455442997,0.03641009330749512
abalone-ternary,KMeans-RP,4,0.0739495950886858,0.0759831220539021,0.07533698629451188,0.04717898368835449
abalone-ternary,KMeans-RP,5,0.0712864413092773,0.0883387061673574,0.08031437882989964,0.07433223724365234
abalone-ternary,KMeans-RP,6,0.07788103488454237,0.041162937686690694,0.09642495821976131,0.1019601821899414
abalone-ternary,KMeans-RP,7,0.08179451075968715,0.043539725701702864,0.10641295465954764,0.10003995895385742
abalone-ternary,KMeans-RP,8,0.07991363554621048,0.04572483399094868,0.10854674878755732,0.12290191650390625
abalone-ternary,KMeans-RP,9,0.07872285941391757,0.04528852760405247,0.11029302490083942,0.13754510879516602
abalone-ternary,KMeans-RP,10,0.07788311828164748,0.03123447600475556,0.11394360895718171,0.1383359432220459
abalone-ternary,KMeans-RP,12,0.07533426111508328,0.03324405034117232,0.1164909257453118,0.16368508338928223
abalone-ternary,KMeans-RP,14,0.07362976989042522,0.02476334445433398,0.11933955491085343,0.17643189430236816
abalone-ternary,KMeans-RP,16,0.07337035503730398,0.02208143338499013,0.12373811951573346,0.24226999282836914
abalone-ternary,KMeans-RP,32,0.07569926560577596,0.015618426048255883,0.1518437730794998,0.33667492866516113
abalone-ternary,KMeans-RP,64,0.07622331965627324,0.010487548054217723,0.17847770133106225,0.6610438823699951
