ds_name,alg_name,n_clusters,balanced_accuracy,f1,ANN-fit_time
abalone-ternary,Baseline-ANN,10,0.5126839826839827,0.7844311377245508,3.706218957901001
abalone-ternary,PCA-ANN,10,0.5591991341991341,0.770059880239521,17.6817569732666
abalone-ternary,ICA-ANN,9,0.47508658008658006,0.7736526946107786,6.801760196685791
abalone-ternary,RP-ANN,8,0.5043290043290044,0.7748502994011978,2.3009989261627197
abalone-ternary,SVD-ANN,8,0.5098484848484849,0.7892215568862276,2.431457042694092
abalone-ternary,KMeans-ANN,3,0.3333333333333333,0.6586826347305389,5.3561930656433105
abalone-ternary,GM-ANN,10,0.4294155844155844,0.704191616766467,1.9790592193603516
