ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
abalone-ternary,GM-RP,2,0.03068068492912986,0.07467324974051089,0.020107853792632482,0.013544321060180664
abalone-ternary,GM-RP,3,0.07124143536430119,0.06022073705660893,0.06359537836803517,0.011953115463256836
abalone-ternary,GM-RP,4,0.08213018601748945,0.012167882670438635,0.08247622879418025,0.040995121002197266
abalone-ternary,GM-RP,5,0.09664292384870195,0.04254879169336203,0.10908053779425145,0.03452801704406738
abalone-ternary,GM-RP,6,0.0942651654293251,0.03030839993997853,0.10932389304513548,0.048774003982543945
abalone-ternary,GM-RP,7,0.10256061466309024,0.049658978784988594,0.1294400685151994,0.06044507026672363
abalone-ternary,GM-RP,8,0.09478567857522636,0.045016760052212924,0.12342011146999787,0.08802628517150879
abalone-ternary,GM-RP,9,0.09302853840232721,0.05151718051235513,0.12734824891406457,0.10314226150512695
abalone-ternary,GM-RP,10,0.08958173360813149,0.04115263010728075,0.12764335745619634,0.1213529109954834
abalone-ternary,GM-RP,11,0.0893611456854856,0.028943297118437083,0.13118052029546642,0.14253902435302734
abalone-ternary,GM-RP,12,0.09092433790428604,0.034440231731990664,0.13875148213858604,0.15593814849853516
abalone-ternary,GM-RP,13,0.08932140454837165,0.03409690092190994,0.14089547534488917,0.12623000144958496
abalone-ternary,GM-RP,14,0.08840462211947268,0.03392431265649327,0.14051668579293392,0.1378309726715088
