ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
abalone-ternary,GM-ANN,2,0.09448262387323304,0.016021890545611202,0.06223640794108544,0.008095979690551758
abalone-ternary,GM-ANN,3,0.07124143536430119,0.06022073705660893,0.06359537836803517,0.008524179458618164
abalone-ternary,GM-ANN,4,0.09126922437685106,0.08818849910439909,0.09299801265243726,0.025088071823120117
abalone-ternary,GM-ANN,5,0.09979286719840222,0.04354707255188297,0.1128114715263864,0.03105306625366211
abalone-ternary,GM-ANN,6,0.10711740240551432,0.06263216042690345,0.13218405244102888,0.04866838455200195
abalone-ternary,GM-ANN,7,0.09836855461790167,0.057467372402144966,0.1256009091864207,0.049288272857666016
abalone-ternary,GM-ANN,8,0.09482538064816617,0.04471814844194108,0.12352795030139313,0.08921098709106445
abalone-ternary,GM-ANN,9,0.09196231641559685,0.05030373809315606,0.1260503564819903,0.13066387176513672
abalone-ternary,GM-ANN,10,0.09126283096576268,0.041253398463157016,0.13001473523841617,0.12822508811950684
abalone-ternary,GM-ANN,11,0.09162348812365191,0.04540480444245657,0.13585724578005887,0.1614851951599121
abalone-ternary,GM-ANN,12,0.09076629398184274,0.03361473589671041,0.13844791084871014,0.16219305992126465
abalone-ternary,GM-ANN,13,0.08977375836514831,0.03430765337600861,0.14165528038491998,0.1567070484161377
abalone-ternary,GM-ANN,14,0.08892741373739474,0.03209282424368757,0.14258660641687532,0.1851673126220703
