mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09250597953796387,0.008817043899856693,0.0007761955261230469,0.0001877702509725388,1e-05,"(50, 50, 50)",0.0001,100,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.0001, 'max_iter': 100}",0.4583333333333333,0.625,0.4583333333333333,0.4583333333333333,0.5833333333333334,0.5166666666666667,0.07264831572567791,396
0.18830156326293945,0.005995305707201214,0.001098966598510742,0.0008418307777305263,1e-05,"(50, 50, 50)",0.0001,200,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.0001, 'max_iter': 200}",0.75,0.9166666666666666,0.75,0.8333333333333334,0.75,0.8,0.06666666666666667,358
0.4527094841003418,0.02574294545178512,0.0006447792053222656,1.3010403776227259e-05,1e-05,"(50, 50, 50)",0.0001,500,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.0001, 'max_iter': 500}",0.875,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9333333333333333,0.033333333333333354,216
0.8142004013061523,0.004915935595742772,0.0006309986114501953,6.085234324385937e-06,1e-05,"(50, 50, 50)",0.0001,1000,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.0001, 'max_iter': 1000}",0.875,1.0,0.9583333333333334,1.0,0.9166666666666666,0.95,0.048591265790377515,27
0.08559122085571289,0.0055843838734324115,0.0006231307983398437,9.897788732917618e-06,1e-05,"(50, 50, 50)",0.001,100,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.001, 'max_iter': 100}",0.9166666666666666,1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.03726779962499651,8
0.16641497611999512,0.005188215225353939,0.0007040023803710938,0.00012593281084002478,1e-05,"(50, 50, 50)",0.001,200,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.001, 'max_iter': 200}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,0.9416666666666667,0.042491829279939886,116
0.24989643096923828,0.04246713725486191,0.0006295680999755859,1.7298085353104643e-06,1e-05,"(50, 50, 50)",0.001,500,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.001, 'max_iter': 500}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,0.9416666666666667,0.042491829279939886,116
0.28839702606201173,0.05053452264322254,0.0007184505462646485,0.00014296327117063105,1e-05,"(50, 50, 50)",0.001,1000,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,0.9416666666666667,0.042491829279939886,116
0.08457088470458984,0.006240496559781163,0.0006319046020507813,1.1598616676687901e-05,1e-05,"(50, 50, 50)",0.01,100,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.01, 'max_iter': 100}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.95,0.04082482904638631,27
0.12098145484924316,0.03655810850059781,0.0007815361022949219,0.00021263793747200872,1e-05,"(50, 50, 50)",0.01,200,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.01, 'max_iter': 200}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.95,0.04082482904638631,27
0.12128772735595703,0.038244703316324596,0.0006853580474853515,8.653991457529598e-05,1e-05,"(50, 50, 50)",0.01,500,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.01, 'max_iter': 500}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.95,0.04082482904638631,27
0.12121129035949707,0.034713687935653686,0.0007845878601074219,0.00025693592305939484,1e-05,"(50, 50, 50)",0.01,1000,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.95,0.04082482904638631,27
0.07339859008789062,0.01644854189289975,0.0008473873138427734,0.0003678531939910382,1e-05,"(50, 50, 50)",0.1,100,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.1, 'max_iter': 100}",0.875,1.0,0.9583333333333334,1.0,0.9166666666666666,0.95,0.048591265790377515,27
0.09300146102905274,0.032693795929586926,0.0007359981536865234,0.00018898519040197833,1e-05,"(50, 50, 50)",0.1,200,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.1, 'max_iter': 200}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,0.9416666666666667,0.042491829279939886,116
0.08993844985961914,0.03413038751922105,0.0006504058837890625,1.3737545290840085e-06,1e-05,"(50, 50, 50)",0.1,500,"{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate_init': 0.1, 'max_iter': 500}",0.875,0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,0.9416666666666667,0.042491829279939886,116
