ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
wine-quality,KMeans-ICA,2,0.010281790351775896,-0.0015558545687557287,0.009403680347627723,0.10887980461120605
wine-quality,KMeans-ICA,3,0.023455815015787546,0.006917595476361755,0.02728136632397758,0.15418505668640137
wine-quality,KMeans-ICA,4,0.026139325634006432,0.00654661748343813,0.03138750270684821,0.1759629249572754
wine-quality,KMeans-ICA,5,0.05836148848896347,0.033351508922289,0.07953022529569519,0.18705296516418457
wine-quality,KMeans-ICA,6,0.0673322345821473,0.03761196126834399,0.09672789271561298,0.23975014686584473
wine-quality,KMeans-ICA,7,0.06109764318006953,0.030414293820727318,0.09440031532607523,0.2632172107696533
wine-quality,KMeans-ICA,8,0.05758978690265077,0.0258415664502563,0.09312846312291523,0.27976512908935547
wine-quality,KMeans-ICA,9,0.05791483633618137,0.02469915286594406,0.09713928874414861,0.3218729496002197
wine-quality,KMeans-ICA,10,0.06139919457882669,0.02317524364345106,0.10676657070334812,0.25762271881103516
wine-quality,KMeans-ICA,12,0.05561218930736835,0.0196191533034276,0.09921819244893833,0.3437469005584717
wine-quality,KMeans-ICA,14,0.058360815506636673,0.01926746730241798,0.10777376276289576,0.4589250087738037
wine-quality,KMeans-ICA,16,0.06360630516596029,0.01968527190080787,0.12124224054482433,0.46405911445617676
wine-quality,KMeans-ICA,32,0.07442378849868292,0.01407037015148134,0.17049603026801866,0.8152990341186523
wine-quality,KMeans-ICA,64,0.07950532508930143,0.008784358851455072,0.20976746196285675,1.472761869430542
