ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
wine-quality,GM-RP,2,0.010281790351775896,-0.0015558545687557287,0.009403680347627723,0.01235818862915039
wine-quality,GM-RP,3,0.033150163140832946,0.010501086119148524,0.03415734577326395,0.07372808456420898
wine-quality,GM-RP,4,0.0545275172375441,0.038916981086809625,0.06717595530336609,0.12679123878479004
wine-quality,GM-RP,5,0.036335258173209234,0.020334592383913355,0.05018228510872016,0.16142892837524414
wine-quality,GM-RP,6,0.036158450048433065,0.019864057792460338,0.05194931602012843,0.17253398895263672
wine-quality,GM-RP,7,0.054363225182107934,0.02881245212563648,0.08327538818252617,0.2008371353149414
wine-quality,GM-RP,8,0.053693225275146056,0.02694335249047213,0.08441116480472706,0.21541571617126465
wine-quality,GM-RP,9,0.055449167353310035,0.028175606042898396,0.0905862127692855,0.2243950366973877
wine-quality,GM-RP,10,0.052362167803801714,0.024604773702438486,0.08754626012379826,0.1976180076599121
wine-quality,GM-RP,11,0.05917908374707131,0.0252013346772617,0.10058179082045936,0.2256631851196289
wine-quality,GM-RP,12,0.0653020771151497,0.025646842099267337,0.11455458388966319,0.3249688148498535
wine-quality,GM-RP,13,0.06456303123091466,0.022808628464811215,0.116156014378341,0.38986802101135254
wine-quality,GM-RP,14,0.06738965677615456,0.023843585264843703,0.12281717775987115,0.4149799346923828
