ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
iris,GM,2,0.7336804366512103,0.5672727272727273,0.6365141682948121,0.008420944213867188
iris,GM,3,0.818053594215569,0.7799207397622193,0.8901112788605313,0.008931875228881836
iris,GM,4,0.715094861619044,0.6806400108706729,0.8802720133126329,0.014284133911132812
iris,GM,5,0.6938957047771719,0.6589490272137706,0.9017524906669292,0.031919240951538086
iris,GM,6,0.6452248837069843,0.5317096580683863,0.9017524906669293,0.04800295829772949
iris,GM,7,0.547153993900078,0.39693081636319705,0.8187774490341899,0.026088953018188477
iris,GM,8,0.6471946190978933,0.4896015711122845,0.9789950291673236,0.028318166732788086
iris,GM,9,0.5829644138873671,0.4178430194330226,0.9223583025887012,0.04744386672973633
iris,GM,10,0.5647288307801832,0.3644494416477142,0.9223583025887013,0.05365705490112305
iris,GM,11,0.5838646691597712,0.4178267140215893,0.9633067398051649,0.06344771385192871
iris,GM,12,0.5421826765828489,0.3181612841371107,0.9317418452107833,0.04581284523010254
iris,GM,13,0.554639178250403,0.3334536151177949,0.9660319160928826,0.05480384826660156
iris,GM,14,0.5376037982969566,0.3075799696788115,0.9566904887466952,0.05072784423828125
