mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.6876739501953124,0.552589806218533,0.0019700050354003905,0.0001881188402366298,1e-05,"(50, 50, 50)","{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50)}",0.49478977219146153,0.48176639333170956,0.49488511812941466,0.5235750856135354,0.5046485606754145,0.49992141589791605,0.013873375351070201,18
3.730128526687622,0.28520049300093175,0.003169679641723633,0.00018741705838114603,1e-05,"(100, 100, 100)","{'alpha': 1e-05, 'hidden_layer_sizes': (100, 100, 100)}",0.5029570652979294,0.4977740791859489,0.48695569808665534,0.52977994778422,0.5139592445665073,0.5062738821154633,0.014609294618457943,7
4.62991304397583,1.1816866163674455,0.004692506790161133,0.0008640451592906545,1e-05,"(150, 150, 150)","{'alpha': 1e-05, 'hidden_layer_sizes': (150, 150, 150)}",0.496403023077234,0.47384373900571025,0.5051554761711455,0.5171973010544875,0.5117349879632456,0.5008560892139863,0.015184529485310775,15
5.709931564331055,1.6151965834787634,0.005466556549072266,0.0008115502497689901,1e-05,"(200, 200, 200)","{'alpha': 1e-05, 'hidden_layer_sizes': (200, 200, 200)}",0.4960392838378532,0.48958079618954836,0.506846905361154,0.5319804699420202,0.50819177431933,0.5065134466256143,0.014472548708222404,6
6.5947493553161625,0.6596199270204317,0.006288957595825195,0.00030474872809235337,1e-05,"(250, 250, 250)","{'alpha': 1e-05, 'hidden_layer_sizes': (250, 250, 250)}",0.5096929771383153,0.49182024843711947,0.5034031555302968,0.5223307225443325,0.5192825416200454,0.509299274170822,0.011040986168155022,2
1.4272595405578614,0.5613812731106405,0.0020291805267333984,0.0003287141547436787,0.0001,"(50, 50, 50)","{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50)}",0.4909671422220426,0.4924765229628427,0.4912248653622365,0.5106465941070762,0.5024649916929441,0.4975466887480644,0.007805077721946682,23
3.99737434387207,0.4194568715216663,0.0032450199127197266,0.00014983712224978093,0.0001,"(100, 100, 100)","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100)}",0.5009666033490953,0.4817122675976293,0.4831871938513166,0.520682873902282,0.5065269725019497,0.49860761438425516,0.01468355212590553,21
4.3114213943481445,0.9444831256660617,0.003967666625976562,5.070588676110459e-05,0.0001,"(150, 150, 150)","{'alpha': 0.0001, 'hidden_layer_sizes': (150, 150, 150)}",0.5007476862142828,0.49182024843711947,0.5029160239235745,0.5268877360729665,0.5143966364900145,0.5073417533532998,0.012126718321679844,5
4.666280603408813,0.6478561939561924,0.004999542236328125,0.00012283584343208268,0.0001,"(200, 200, 200)","{'alpha': 0.0001, 'hidden_layer_sizes': (200, 200, 200)}",0.5113432755392098,0.49176612270303915,0.506846905361154,0.5199742311734988,0.5081748211440003,0.5076194357047674,0.00914935292952759,4
6.5259863376617435,1.2822619300506504,0.006328296661376953,0.00039208621877062573,0.0001,"(250, 250, 250)","{'alpha': 0.0001, 'hidden_layer_sizes': (250, 250, 250)}",0.49909738781338825,0.4873413439419772,0.5062447565695111,0.5215067982233073,0.5156240463838877,0.5059512090807315,0.01207117715354459,8
1.230417585372925,0.06908286160846103,0.0018725872039794921,9.328297455054288e-05,0.001,"(50, 50, 50)","{'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 50)}",0.4909671422220426,0.4824767935915131,0.4992557711563963,0.5129454446817889,0.5031736344217271,0.49775352224623276,0.010407792053557815,22
3.4872912883758547,0.330394319450252,0.0030582427978515627,1.6227462786209828e-05,0.001,"(100, 100, 100)","{'alpha': 0.001, 'hidden_layer_sizes': (100, 100, 100)}",0.505954546066901,0.4910015967091554,0.4920908771075208,0.5147831688875327,0.5111246736513749,0.5029867812418607,0.009759835783177448,14
4.890357637405396,1.4612260378419712,0.0042804241180419925,0.000617880091853941,0.001,"(150, 150, 150)","{'alpha': 0.001, 'hidden_layer_sizes': (150, 150, 150)}",0.5000437834269625,0.49034532218343213,0.5036805499174583,0.5259892177804902,0.4986742616892144,0.5037392689418422,0.011941806965275671,12
5.82383165359497,1.761042251198813,0.0058929443359375,0.001091052303102648,0.001,"(200, 200, 200)","{'alpha': 0.001, 'hidden_layer_sizes': (200, 200, 200)}",0.5071198588152878,0.4932951746908067,0.503842927119699,0.5268470484521751,0.5140745261587495,0.5090279184674094,0.011140297473424463,3
7.160282564163208,1.5630406067857252,0.007169246673583984,0.00042472287460196414,0.001,"(250, 250, 250)","{'alpha': 0.001, 'hidden_layer_sizes': (250, 250, 250)}",0.5012697193819128,0.48947254472138774,0.47521041379123713,0.5215067982233073,0.5133828366052962,0.5001587768571837,0.016537980561663237,17
1.3264109134674071,0.21412477852328254,0.001947498321533203,0.0002057454591995326,0.01,"(50, 50, 50)","{'alpha': 0.01, 'hidden_layer_sizes': (50, 50, 50)}",0.49402524619757776,0.4896890476577089,0.5007306974100837,0.5137117282066931,0.5047062014715357,0.5005634921416291,0.008377491443428229,16
3.6013508319854735,0.4935768451869213,0.0030646324157714844,2.978610551212581e-05,0.01,"(100, 100, 100)","{'alpha': 0.01, 'hidden_layer_sizes': (100, 100, 100)}",0.5060151692734646,0.4954805012042976,0.4861911720927716,0.5194961516292002,0.5125419591089412,0.5039390003107795,0.011886275669272844,10
