algname,gamma,num_states,Iteration,# chg action at iter,V_average,V_sum,delta,variation,V_max_diff,# chg actions,clock_time
pi-forest,0.99,10,1,1,50.77843381735775,507.7843381735775,507.7843381735775,32.37450210800561,79.49242913074471,1,0.000370025634765625
pi-forest,0.99,10,2,1,53.563001955180994,535.6300195518099,27.845681378232428,27.845681378233024,27.845681378232975,2,0.0006551742553710938
pi-forest,0.99,10,3,1,55.991170093004065,559.9117009300406,24.2816813782307,24.281681378233188,24.281681378232904,3,0.0009312629699707031
pi-forest,0.99,10,4,1,58.10178583082758,581.0178583082758,21.10615737823514,21.106157378233206,21.10615737823315,4,0.0012738704681396484
pi-forest,0.99,10,5,1,59.92946238025074,599.2946238025074,18.276765494231654,18.276765494233132,18.276765494232833,5,0.0015456676483154297
pi-forest,0.99,10,6,1,61.50504011280994,615.0504011280993,15.755777325591907,15.755777325589179,15.755777325589293,6,0.0018765926361083984
pi-forest,0.99,10,7,1,62.85599779954249,628.5599779954249,13.509576867325563,13.509576867327503,13.509576867326935,7,0.0022516250610351562
pi-forest,0.99,10,8,1,64.00681902544433,640.0681902544433,11.508212259018364,11.508212259016318,11.508212259016403,8,0.002597808837890625
pi-forest,0.99,10,9,0,151.62903652646952,1516.290365264695,876.2221750102518,9.7249963930106,95.50821707611748,8,0.0029468536376953125
