env_name,algname,gamma,epsilon,threshold,Iteration,variation,V_max_diff,clock_time,# chg action at iter,# chg actions
"frozen-lake-(4, 4)",PI,0.95,0.01,0.0005263157894736847,1,0.4878048780487805,0.4878048780487805,0.00030517578125,9,9
"frozen-lake-(4, 4)",PI,0.95,0.01,0.0005263157894736847,2,0.28959807264354065,0.28959807264354065,0.0006010532379150391,5,14
"frozen-lake-(4, 4)",PI,0.95,0.01,0.0005263157894736847,3,0.16806376453331898,0.1680637645333179,0.0008900165557861328,4,18
"frozen-lake-(4, 4)",PI,0.95,0.01,0.0005263157894736847,4,0.0687566602868368,0.0687566602868368,0.0011720657348632812,1,19
"frozen-lake-(4, 4)",PI,0.95,0.01,0.0005263157894736847,5,1.1578176160901963e-16,8.764918615461762e-17,0.0014591217041015625,0,19
