env_name,algname,gamma,epsilon,threshold,Iteration,V_variation,V_delta,V_max_diff,V_average,V_sum,clock_time,# chg action at iter,# chg actions
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,1,9.999999999999991,741.7462531883477,9.999999999999991,-1.129022577834808,-1016.1203200513271,0.01310586929321289,305,305
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,2,9.899999999999991,201.49919264184655,9.899999999999991,-0.9051345860105342,-814.6211274094808,0.0300900936126709,153,458
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,3,8.820899999999993,76.15395592800887,8.820899999999993,-0.8205190794238576,-738.4671714814718,0.048612117767333984,110,568
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,4,8.73269099999999,32.73771010227726,8.73269099999999,-0.784143845976883,-705.7294613791947,0.06202197074890137,92,660
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,5,1.5508905489,10.49288706205871,1.5508905489,-0.7724850825745956,-695.236574317136,0.07800817489624023,94,754
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,6,1.446281643411,14.696275995764939,1.446281643411,-0.7561558870237456,-680.540298321371,0.09875130653381348,105,859
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,7,1.2527188269768899,18.307011965229275,1.2527188269768899,-0.7358147626179354,-662.2332863561419,0.11225104331970215,102,961
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,8,1.1386897223200498,14.857550551646224,1.1386897223200498,-0.7193063731161063,-647.3757358044957,0.1285090446472168,105,1066
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,9,0.9482028250968493,12.553791397711095,0.9482028250968493,-0.7053577160075386,-634.8219444067847,0.14812612533569336,99,1165
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,10,0.8487207968458809,9.050509013092771,0.8487207968458809,-0.6953015948818799,-625.771435393692,0.16135883331298828,97,1262
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,11,0.7502335888774221,8.970834831125025,0.7502335888774221,-0.6853340006250744,-616.800600562567,0.17782902717590332,104,1366
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,12,0.6397419010541735,8.778027175984331,0.6397419010541735,-0.6755806370962031,-608.0225733865827,0.19434690475463867,107,1473
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,13,0.4606419010541738,8.976903626892263,0.4606419010541738,-0.6656062997329893,-599.0456697596904,0.20746183395385742,100,1573
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,14,0.2723751272231958,4.49877294104327,0.2723751272231958,-0.6606076631318303,-594.5468968186473,0.2206268310546875,87,1660
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,15,0.1796513759509638,1.0607813782407063,0.1796513759509638,-0.6594290171560073,-593.4861154404066,0.24085283279418945,77,1737
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,16,0.08785486219145422,0.43751721371347907,0.08785486219145422,-0.6589428869185479,-593.0485982266931,0.25386977195739746,68,1805
"frozen-lake-(30, 30)",PI,0.99,0.001,1.010101010101011e-05,17,2.2428747972225386e-16,3.4937260716335484e-14,2.2428747972225386e-16,-0.6589428869185479,-593.0485982266931,0.26721787452697754,66,1871
