algname,Iteration,# chg actions,V[0],clock_time
policy-iteration,0,1,0.0,0.0004322528839111328
policy-iteration,1,9,0.0,0.0002810955047607422
policy-iteration,2,5,0.03903415460557731,0.0002589225769042969
policy-iteration,3,4,0.1314027286383796,0.00040721893310546875
policy-iteration,4,1,0.18047157839720157,0.0002570152282714844
policy-iteration,5,0,0.18047157839720157,0.00027108192443847656
policy-iteration,6,0,0.18047157839720157,0.0003058910369873047
policy-iteration,7,0,0.18047157839720157,0.0002772808074951172
policy-iteration,8,0,0.18047157839720157,0.0002579689025878906
policy-iteration,9,0,0.18047157839720157,0.0002543926239013672
policy-iteration,10,0,0.18047157839720157,0.00025081634521484375
policy-iteration,11,0,0.18047157839720157,0.0002613067626953125
policy-iteration,12,0,0.18047157839720157,0.00025773048400878906
policy-iteration,13,0,0.18047157839720157,0.0002503395080566406
policy-iteration,14,0,0.18047157839720157,0.0002760887145996094
policy-iteration,15,0,0.18047157839720157,0.000308990478515625
policy-iteration,16,0,0.18047157839720157,0.00026416778564453125
policy-iteration,17,0,0.18047157839720157,0.0002560615539550781
policy-iteration,18,0,0.18047157839720157,0.00026988983154296875
policy-iteration,19,0,0.18047157839720157,0.0002491474151611328
