algname,gamma,num_states,Iteration,# chg action at iter,variation,V_max_diff,# chg actions,clock_time
pi-forest,0.96,100,1,1,26.0035344609947,37.59151729361271,1,0.0020110607147216797
pi-forest,0.96,100,2,1,21.467053774299423,21.4670537742994,2,0.003083944320678711
pi-forest,0.96,100,3,1,18.011053774299462,18.01105377429939,3,0.0042629241943359375
pi-forest,0.96,100,4,1,15.025069774299478,15.02506977429945,4,0.0053861141204833984
pi-forest,0.96,100,5,1,12.445179598299404,12.44517959829933,5,0.006227016448974609
pi-forest,0.96,100,6,1,10.216154486235485,10.216154486235343,6,0.007343769073486328
pi-forest,0.96,100,7,1,8.290276789412204,8.290276789412214,7,0.008502721786499023
pi-forest,0.96,100,8,1,6.626318459356867,6.626318459356721,8,0.009572505950927734
pi-forest,0.96,100,9,1,5.188658462189075,5.188658462189117,9,0.010609626770019531
pi-forest,0.96,100,10,1,3.94652022463605,3.9465202246359787,10,0.011546611785888672
pi-forest,0.96,100,11,1,2.873312787390322,2.8733127873902173,11,0.012422561645507812
pi-forest,0.96,100,12,1,1.9460615616099997,1.946061561609982,12,0.013258695602416992
pi-forest,0.96,100,13,1,1.144916502535752,1.1449165025356631,13,0.014098644256591797
pi-forest,0.96,100,14,0,0.4527271714956562,0.452727171495642,13,0.014938592910766602
