algname,Iteration,max|V-Vprev|,# chg actions,V[0],clock_time
value-iteration,0,0.3333333333333333,N/A,0.0,0.0005240440368652344
value-iteration,1,0.10888888888888888,2,0.0,0.0005178451538085938
value-iteration,2,0.07114074074074073,3,0.0,0.0005168914794921875
value-iteration,3,0.058098271604938245,3,0.0,0.0005152225494384766
value-iteration,4,0.04554904493827161,4,0.0,0.0004999637603759766
value-iteration,5,0.03719838669958847,6,0.0,0.0005156993865966797
value-iteration,6,0.030783731570948325,5,0.0,0.0005080699920654297
value-iteration,7,0.02606625972406701,8,0.0,0.0005538463592529297
value-iteration,8,0.023254102837423185,5,0.0,0.0005140304565429688
value-iteration,9,0.021066430610140463,6,0.0,0.0005078315734863281
value-iteration,10,0.019270606824705827,9,0.0,0.0005121231079101562
value-iteration,11,0.017592431241388262,8,0.0,0.0005078315734863281
value-iteration,12,0.016187286773251153,9,0.0,0.0005109310150146484
value-iteration,13,0.01493951839179411,4,1.720383210738582e-05,0.000514984130859375
value-iteration,14,0.014023049198222254,1,5.5597854677756705e-05,0.0005168914794921875
value-iteration,15,0.013277906143383866,0,0.00015229686834965732,0.0005152225494384766
value-iteration,16,0.012472630737600021,0,0.0003167940837861344,0.0005140304565429688
value-iteration,17,0.011797038119058745,0,0.0005977608246723057,0.0005869865417480469
value-iteration,18,0.011317890231307526,2,0.0010061900717712102,0.0005147457122802734
value-iteration,19,0.010842582998419836,1,0.0016067462400496954,0.0005061626434326172
value-iteration,20,0.010411599076104006,1,0.002423348392090722,0.0005249977111816406
value-iteration,21,0.010021484448291429,0,0.0034902156412367448,0.0005168914794921875
value-iteration,22,0.00973645106091775,0,0.0048212143100918045,0.0005099773406982422
value-iteration,23,0.009507769809629973,2,0.006436269043943959,0.0005171298980712891
value-iteration,24,0.009298039130658547,0,0.00833606319923697,0.0005118846893310547
value-iteration,25,0.009058409669368134,0,0.010525087042507559,0.0005168914794921875
value-iteration,26,0.008820855584944304,0,0.012993302509322159,0.0005109310150146484
value-iteration,27,0.008568315800192544,0,0.01573897100443441,0.0005161762237548828
value-iteration,28,0.008298079032337952,1,0.01874483721770726,0.0005128383636474609
value-iteration,29,0.008021489395940745,1,0.021997570869078522,0.0005590915679931641
value-iteration,30,0.0077368488373422695,1,0.025473410306098433,0.0005161762237548828
value-iteration,31,0.0074629649999545244,0,0.029151949691018236,0.0005178451538085938
value-iteration,32,0.007208699803174318,0,0.03301103137129675,0.0005130767822265625
value-iteration,33,0.006947982053820495,0,0.037037116982533785,0.0005161762237548828
value-iteration,34,0.006689450042783207,0,0.04120627133241359,0.0005128383636474609
value-iteration,35,0.006429899548509976,1,0.045497246688833586,0.0005147457122802734
value-iteration,36,0.006175325003320548,0,0.04988575723425678,0.0005128383636474609
value-iteration,37,0.005923347896883452,0,0.05434982389745466,0.0005128383636474609
value-iteration,38,0.005678115953297647,0,0.05886715888481733,0.0005118846893310547
value-iteration,39,0.005437772102815347,0,0.06341763482093972,0.0006678104400634766
value-iteration,40,0.005243671788198678,0,0.06798190458335639,0.0005161762237548828
value-iteration,41,0.005068699716802433,0,0.07254263372248693,0.0006210803985595703
value-iteration,42,0.004894879858756113,0,0.07708368749475031,0.0005168914794921875
value-iteration,43,0.004746930285000089,0,0.08159078047380293,0.0006167888641357422
value-iteration,44,0.0046142741722485225,0,0.08605093976720725,0.0005578994750976562
value-iteration,45,0.004479499331250636,0,0.0904528544226981,0.0005259513854980469
value-iteration,46,0.004363658929537412,0,0.09478648668520462,0.0005171298980712891
value-iteration,47,0.004259364348034325,1,0.09904325501369109,0.0005240440368652344
value-iteration,48,0.00417248099496903,0,0.10321573600866012,0.0005691051483154297
value-iteration,49,0.0040820151064559634,0,0.10729775111511608,0.0006191730499267578
value-iteration,50,0.00398679340591214,0,0.11128413142252568,0.0005881786346435547
value-iteration,51,0.0038920137131342597,0,0.11517074805493577,0.0006120204925537109
value-iteration,52,0.0037934225604330657,0,0.11895432435337097,0.0006320476531982422
value-iteration,53,0.003691771549759207,0,0.12263243409660383,0.0006327629089355469
value-iteration,54,0.0035879257904258277,0,0.1262033510163088,0.0006709098815917969
value-iteration,55,0.003482509779653642,0,0.1296660297940444,0.0007898807525634766
value-iteration,56,0.00337622342400018,0,0.13301998559777978,0.0007278919219970703
value-iteration,57,0.0032695656892797464,0,0.13626529011177502,0.0008068084716796875
value-iteration,58,0.0031631060596126193,0,0.13940247649026083,0.0005869865417480469
value-iteration,59,0.0030572578085964197,0,0.14243252913580018,0.0006277561187744141
value-iteration,60,0.002956223045342238,0,0.14535680402855988,0.0008640289306640625
value-iteration,61,0.0028577510218392443,0,0.14817700407878376,0.0005850791931152344
value-iteration,62,0.002760236274316208,0,0.150895109160498,0.0006346702575683594
value-iteration,63,0.0026640499698159514,0,0.15351334316123094,0.0006499290466308594
