algname,gamma,num_states,Iteration,# chg action at iter,V_average,V_sum,delta,variation,V_max_diff,# chg actions,clock_time
pi-forest,0.95,10,1,1,12.090342968677373,120.90342968677373,120.90342968677373,24.4074728134585,33.62580165442884,1,0.00037980079650878906
pi-forest,0.95,10,2,1,14.077181894228087,140.77181894228087,19.86838925550714,19.86838925550702,19.86838925550701,2,0.0006787776947021484
pi-forest,0.95,10,3,1,15.722020819778757,157.22020819778757,16.448389255506697,16.448389255507024,16.44838925550698,3,0.0010328292846679688
pi-forest,0.95,10,4,1,17.07444974532945,170.74449745329449,13.524289255506915,13.524289255507027,13.524289255506998,4,0.0013937950134277344
pi-forest,0.95,10,5,1,18.17686812088018,181.7686812088018,11.024183755507323,11.024183755506998,11.02418375550703,5,0.0017938613891601562
pi-forest,0.95,10,6,1,19.06552747618094,190.6552747618094,8.8865935530076,8.886593553007009,8.886593553007033,6,0.0020956993103027344
pi-forest,0.95,10,7,1,19.771422869167864,197.71422869167864,7.058953929869233,7.058953929869519,7.058953929869423,7,0.0023908615112304688
pi-forest,0.95,10,8,1,20.321055074376478,203.21055074376477,5.4963220520861285,5.496322052087013,5.496322052086871,8,0.002679586410522461
pi-forest,0.95,10,9,0,27.85114702619153,278.5114702619153,75.30091951815052,4.160271796582954,10.918633330131847,8,0.002968311309814453
