episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type,decay
0,0.999,-1.0,-1.1997001,-1.2,-0.3,-0.3,0.999,0.8,0.00017881393432617188,0.00017881393432617188,0,4,True,3,900,0.999,1,non-linear - epsilon: 0.999
100,0.9038873549665959,-1.0,-1.3983038944049975,-1.4,-0.15555555555555556,0.0,0.999,0.8,0.0002791881561279297,0.026458024978637695,0,9,True,8,900,0.999,1,non-linear - epsilon: 0.999
200,0.8178301806491574,-1.0,-2.1897618120372684,-2.2,-0.10476190476190476,-0.04802914035740941,0.999,0.8,0.0005986690521240234,0.0605318546295166,5,16,True,20,900,0.999,1,non-linear - epsilon: 0.999
300,0.7399663251239436,-1.0,-1.5977047929075943,-1.6,-0.13333333333333333,-6.827725884672731e-11,0.999,0.8,0.0003521442413330078,0.09601783752441406,2,10,True,11,900,0.999,1,non-linear - epsilon: 0.999
400,0.6695157201007336,-1.0,-1.0999,-1.1,-0.55,0.0,0.999,0.8,6.699562072753906e-05,0.1466991901397705,0,2,True,1,900,0.999,1,non-linear - epsilon: 0.999
500,0.6057725659163237,-1.0,-1.3990009995001,-1.4,-0.05833333333333334,0.0,0.999,0.8,0.0006129741668701172,0.19669723510742188,13,11,True,23,900,0.999,1,non-linear - epsilon: 0.999
600,0.548098260578011,-1.0,-1.2991015980014993,-1.3,-0.18571428571428572,0.0,0.999,0.8,0.00019884109497070312,0.2696726322174072,2,5,True,6,900,0.999,1,non-linear - epsilon: 0.999
700,0.4959150020176678,-1.0,-1.9883933327285592,-2.0,-0.07142857142857142,0.0,0.999,0.8,0.0007011890411376953,0.35906434059143066,14,14,True,27,900,0.999,1,non-linear - epsilon: 0.999
800,0.44869999946146477,-1.0,-3.7059475651329734,-3.9000000000000012,-0.027083333333333334,0.0,0.999,0.8,0.0034029483795166016,0.45728158950805664,87,57,True,143,900,0.999,1,non-linear - epsilon: 0.999
900,0.4059802359226587,-1.0,-1.5830992699541173,-1.6,-0.0326530612244898,0.0,0.999,0.8,0.0011429786682128906,0.5506925582885742,32,17,True,48,900,0.999,1,non-linear - epsilon: 0.999
1000,0.36732772934619257,-1.0,-2.433188030545682,-2.5,-0.021367521367521368,0.0,0.999,0.8,0.002755880355834961,0.6696553230285645,71,46,True,116,900,0.999,1,non-linear - epsilon: 0.999
1100,0.33235524492954527,-1.0,-5.109772574993399,-5.200000000000001,-0.09999999999999999,-0.07960120003280281,0.999,0.8,0.0011768341064453125,0.8144862651824951,36,16,True,51,900,0.999,1,non-linear - epsilon: 0.999
1200,0.3007124156643058,-1.0,-1.0999,-1.1,-0.55,0.0,0.999,0.8,6.699562072753906e-05,0.9981348514556885,0,2,True,1,900,0.999,1,non-linear - epsilon: 0.999
1300,0.2720822322326576,-1.0,-2.0584388700890655,-2.0999999999999996,-0.02413793103448276,0.0,0.999,0.8,0.0019311904907226562,1.1817457675933838,67,20,True,86,900,0.999,1,non-linear - epsilon: 0.999
1400,0.2461778670932771,-1.0,-3.1276661569766104,-3.3000000000000007,-0.022602739726027395,0.0,0.999,0.8,0.003559112548828125,1.4819309711456299,106,40,True,145,900,0.999,1,non-linear - epsilon: 0.999
1500,0.22273980093919937,-1.0,-2.0713643295230506,-2.0999999999999996,-0.02837837837837838,0.0,0.999,0.8,0.0016698837280273438,1.8278837203979492,52,22,True,73,900,0.999,1,non-linear - epsilon: 0.999
1600,0.2015332227394583,-1.0,-1.1993014980014993,-1.2,-0.06,0.0,0.999,0.8,0.0004241466522216797,2.2339539527893066,17,3,True,19,900,0.999,1,non-linear - epsilon: 0.999
1700,0.18234567731717977,-1.0,-2.3387725638226096,-2.4000000000000004,-0.025263157894736845,0.0,0.999,0.8,0.0030128955841064453,2.6696391105651855,77,18,True,94,900,0.999,1,non-linear - epsilon: 0.999
1800,0.1649849368967147,-1.0,-3.756368452689318,-4.500000000000002,-0.009018036072144289,0.0,0.999,0.8,0.011250972747802734,3.179738759994507,425,74,True,498,900,0.999,1,non-linear - epsilon: 0.999
1900,0.14927707529619813,-1.0,-3.9102763933192297,-4.500000000000002,-0.009911894273127754,0.0,0.999,0.8,0.009422779083251953,3.734372854232788,381,73,True,453,900,0.999,1,non-linear - epsilon: 0.999
2000,0.13506472547210188,-1.0,-1.7489333877705624,-1.7999999999999998,-0.012857142857142855,0.0,0.999,0.8,0.002886056900024414,4.317479372024536,119,21,True,139,900,0.999,1,non-linear - epsilon: 0.999
2100,0.12220550295922675,-1.0,-2.393004793952917,-2.6000000000000005,-0.00948905109489051,0.0,0.999,0.8,0.0060160160064697266,5.05829381942749,244,30,True,273,900,0.999,1,non-linear - epsilon: 0.999
2200,0.11057057941158951,0.0,-1.9651704719228444,-2.600000000000001,-0.0052,0.0,0.999,0.8,0.010224103927612305,5.817960023880005,445,55,False,499,900,0.999,1,non-linear - epsilon: 0.999
2300,0.10004339195341891,-1.0,-2.4935878481252622,-2.7,-0.010344827586206896,0.0,0.999,0.8,0.010868072509765625,6.611891746520996,230,31,True,260,900,0.999,1,non-linear - epsilon: 0.999
2400,0.09051847541007228,-1.0,-1.1996002999,-1.2,-0.07058823529411765,0.0,0.999,0.8,0.00041294097900390625,7.404106140136719,12,5,True,16,900,0.999,1,non-linear - epsilon: 0.999
2500,0.08190040571973876,0.0,-1.5595393666066764,-2.0000000000000004,-0.004,0.0,0.999,0.8,0.011289119720458984,8.296294450759888,456,44,False,499,900,0.999,1,non-linear - epsilon: 0.999
2600,0.07410284394064628,0.0,-1.9104579796073868,-2.400000000000001,-0.0048000000000000004,0.0,0.999,0.8,0.011862039566040039,9.288345336914062,455,45,False,499,900,0.999,1,non-linear - epsilon: 0.999
2700,0.06704767127628951,0.0,-0.8914403956395209,-1.0999999999999999,-0.0022,0.0,0.999,0.8,0.012900114059448242,10.291380167007446,471,29,False,499,900,0.999,1,non-linear - epsilon: 0.999
2800,0.060664206453048174,0.0,-1.4696469292594008,-1.9000000000000006,-0.0038000000000000004,0.0,0.999,0.8,0.014832735061645508,11.210696697235107,469,31,False,499,900,0.999,1,non-linear - epsilon: 0.999
2900,0.05488849760960279,0.0,-0.5181906302993275,-0.7,-0.0014000000000000002,0.0,0.999,0.8,0.009726762771606445,12.168341159820557,478,22,False,499,900,0.999,1,non-linear - epsilon: 0.999
3000,0.049662681604038215,0.0,-1.0609699804279764,-1.4000000000000001,-0.0028000000000000004,0.0,0.999,0.8,0.009729862213134766,13.105424880981445,480,20,False,499,900,0.999,1,non-linear - epsilon: 0.999
3100,0.04493440431994225,0.0,-0.8654646809799293,-1.0999999999999999,-0.0022,0.0,0.999,0.8,0.0096282958984375,14.041941165924072,480,20,False,499,900,0.999,1,non-linear - epsilon: 0.999
3200,0.04065629616391608,0.0,-0.7897375198966429,-0.9999999999999999,-0.002,0.0,0.999,0.8,0.009854793548583984,14.968112707138062,476,24,False,499,900,0.999,1,non-linear - epsilon: 0.999
3300,0.03678549749984046,0.0,-1.5892913499972476,-2.1000000000000005,-0.004200000000000001,0.0,0.999,0.8,0.009562015533447266,15.923291444778442,472,28,False,499,900,0.999,1,non-linear - epsilon: 0.999
