algname,Iteration,# chg actions,V[0],clock_time
policy-iteration,0,25,0.0,0.001313924789428711
policy-iteration,1,17,0.0,0.0011279582977294922
policy-iteration,2,17,0.0,0.0010800361633300781
policy-iteration,3,20,0.0,0.0011348724365234375
policy-iteration,4,18,0.00045307055173369456,0.0011110305786132812
policy-iteration,5,14,0.16394726857622488,0.001230001449584961
policy-iteration,6,8,0.2064646036507498,0.0011110305786132812
policy-iteration,7,4,0.21740305269417057,0.0011398792266845703
policy-iteration,8,4,0.21740305269417057,0.0021767616271972656
policy-iteration,9,4,0.21740305269417057,0.0011439323425292969
policy-iteration,10,4,0.21740305269417057,0.0011301040649414062
policy-iteration,11,4,0.21740305269417057,0.0011208057403564453
policy-iteration,12,4,0.21740305269417057,0.0014829635620117188
policy-iteration,13,4,0.21740305269417057,0.001146078109741211
policy-iteration,14,4,0.21740305269417057,0.0011179447174072266
policy-iteration,15,4,0.21740305269417057,0.001146078109741211
policy-iteration,16,4,0.21740305269417057,0.001085042953491211
policy-iteration,17,4,0.21740305269417057,0.0011448860168457031
policy-iteration,18,4,0.21740305269417057,0.0010838508605957031
policy-iteration,19,4,0.21740305269417057,0.0010471343994140625
policy-iteration,20,4,0.21740305269417057,0.0011010169982910156
policy-iteration,21,4,0.21740305269417057,0.0010921955108642578
policy-iteration,22,4,0.21740305269417057,0.001149892807006836
policy-iteration,23,4,0.21740305269417057,0.0011260509490966797
policy-iteration,24,4,0.21740305269417057,0.0010998249053955078
policy-iteration,25,4,0.21740305269417057,0.0010859966278076172
policy-iteration,26,4,0.21740305269417057,0.0011508464813232422
policy-iteration,27,4,0.21740305269417057,0.0011038780212402344
policy-iteration,28,4,0.21740305269417057,0.001081705093383789
policy-iteration,29,4,0.21740305269417057,0.0010929107666015625
policy-iteration,30,4,0.21740305269417057,0.0010790824890136719
policy-iteration,31,4,0.21740305269417057,0.0011131763458251953
policy-iteration,32,4,0.21740305269417057,0.0010921955108642578
policy-iteration,33,4,0.21740305269417057,0.0010917186737060547
policy-iteration,34,4,0.21740305269417057,0.0010471343994140625
policy-iteration,35,4,0.21740305269417057,0.001074075698852539
policy-iteration,36,4,0.21740305269417057,0.0011370182037353516
policy-iteration,37,4,0.21740305269417057,0.0010628700256347656
policy-iteration,38,4,0.21740305269417057,0.0011060237884521484
policy-iteration,39,4,0.21740305269417057,0.0011298656463623047
policy-iteration,40,4,0.21740305269417057,0.0011239051818847656
policy-iteration,41,4,0.21740305269417057,0.0011911392211914062
policy-iteration,42,4,0.21740305269417057,0.0011029243469238281
policy-iteration,43,4,0.21740305269417057,0.0011010169982910156
policy-iteration,44,4,0.21740305269417057,0.001055002212524414
policy-iteration,45,4,0.21740305269417057,0.0011157989501953125
policy-iteration,46,4,0.21740305269417057,0.0011179447174072266
policy-iteration,47,4,0.21740305269417057,0.0011000633239746094
policy-iteration,48,4,0.21740305269417057,0.0010938644409179688
policy-iteration,49,4,0.21740305269417057,0.0011358261108398438
policy-iteration,50,4,0.21740305269417057,0.0011010169982910156
policy-iteration,51,4,0.21740305269417057,0.0010998249053955078
policy-iteration,52,4,0.21740305269417057,0.0011510848999023438
policy-iteration,53,4,0.21740305269417057,0.0011699199676513672
policy-iteration,54,4,0.21740305269417057,0.0011169910430908203
policy-iteration,55,4,0.21740305269417057,0.0010890960693359375
policy-iteration,56,4,0.21740305269417057,0.0011668205261230469
policy-iteration,57,4,0.21740305269417057,0.0011219978332519531
policy-iteration,58,4,0.21740305269417057,0.0011646747589111328
policy-iteration,59,4,0.21740305269417057,0.001094818115234375
policy-iteration,60,4,0.21740305269417057,0.0010957717895507812
policy-iteration,61,4,0.21740305269417057,0.0012459754943847656
policy-iteration,62,4,0.21740305269417057,0.0011210441589355469
policy-iteration,63,4,0.21740305269417057,0.0011191368103027344
policy-iteration,64,4,0.21740305269417057,0.0010991096496582031
policy-iteration,65,4,0.21740305269417057,0.0011560916900634766
policy-iteration,66,4,0.21740305269417057,0.0010979175567626953
policy-iteration,67,4,0.21740305269417057,0.0010728836059570312
policy-iteration,68,4,0.21740305269417057,0.0011000633239746094
policy-iteration,69,4,0.21740305269417057,0.001068115234375
policy-iteration,70,4,0.21740305269417057,0.0011181831359863281
policy-iteration,71,4,0.21740305269417057,0.0011668205261230469
policy-iteration,72,4,0.21740305269417057,0.0010840892791748047
policy-iteration,73,4,0.21740305269417057,0.0010960102081298828
policy-iteration,74,4,0.21740305269417057,0.0010731220245361328
policy-iteration,75,4,0.21740305269417057,0.0011370182037353516
policy-iteration,76,4,0.21740305269417057,0.0011730194091796875
policy-iteration,77,4,0.21740305269417057,0.0011281967163085938
policy-iteration,78,4,0.21740305269417057,0.0010960102081298828
policy-iteration,79,4,0.21740305269417057,0.001104116439819336
policy-iteration,80,4,0.21740305269417057,0.00109100341796875
policy-iteration,81,4,0.21740305269417057,0.001222848892211914
policy-iteration,82,4,0.21740305269417057,0.0010831356048583984
policy-iteration,83,4,0.21740305269417057,0.0011370182037353516
policy-iteration,84,4,0.21740305269417057,0.0011010169982910156
policy-iteration,85,4,0.21740305269417057,0.0011258125305175781
policy-iteration,86,4,0.21740305269417057,0.0010716915130615234
policy-iteration,87,4,0.21740305269417057,0.0011119842529296875
policy-iteration,88,4,0.21740305269417057,0.0011568069458007812
policy-iteration,89,4,0.21740305269417057,0.0011179447174072266
policy-iteration,90,4,0.21740305269417057,0.0011639595031738281
policy-iteration,91,4,0.21740305269417057,0.0011050701141357422
policy-iteration,92,4,0.21740305269417057,0.0011138916015625
policy-iteration,93,4,0.21740305269417057,0.0010671615600585938
policy-iteration,94,4,0.21740305269417057,0.0010890960693359375
policy-iteration,95,4,0.21740305269417057,0.0011208057403564453
policy-iteration,96,4,0.21740305269417057,0.0011463165283203125
policy-iteration,97,4,0.21740305269417057,0.001069784164428711
policy-iteration,98,4,0.21740305269417057,0.0011131763458251953
policy-iteration,99,4,0.21740305269417057,0.0011699199676513672
