episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type,decay
0,0.85,-1.0,-1.7964083874125916,-1.7999999999999998,-0.18,-0.18,0.999,0.8,0.0003669261932373047,0.0003669261932373047,0,10,True,9,900,0.999,4,linear - epsilon: 0.85
100,0.8457500000000054,-1.0,-1.9938213509790077,-2.0,-0.09523809523809523,-0.00023561164222881575,0.999,0.8,0.0006580352783203125,0.03225445747375488,1,20,True,20,900,0.999,4,linear - epsilon: 0.85
200,0.8415000000000109,-1.0,-1.4985019985005998,-1.5,-0.21428571428571427,-0.005714859468710652,0.999,0.8,0.0002181529998779297,0.06603646278381348,0,7,True,6,900,0.999,4,linear - epsilon: 0.85
300,0.8372500000000164,-1.0,-1.0999,-1.1,-0.3666666666666667,0.0,0.999,0.8,9.989738464355469e-05,0.10518574714660645,0,3,True,2,900,0.999,4,linear - epsilon: 0.85
400,0.8330000000000218,-1.0,-1.2990015986005998,-1.3,-0.21666666666666667,0.0,0.999,0.8,0.00018787384033203125,0.1378483772277832,0,6,True,5,900,0.999,4,linear - epsilon: 0.85
500,0.8287500000000273,-1.0,-1.4953261022674367,-1.5,-0.08333333333333333,0.0,0.999,0.8,0.0005018711090087891,0.1697859764099121,5,13,True,17,900,0.999,4,linear - epsilon: 0.85
600,0.8245000000000328,-1.0,-1.1997001,-1.2,-0.3,0.0,0.999,0.8,0.0001277923583984375,0.20268559455871582,0,4,True,3,900,0.999,4,linear - epsilon: 0.85
700,0.8202500000000382,-1.0,-1.0999,-1.1,-0.55,0.0,0.999,0.8,6.604194641113281e-05,0.23586082458496094,0,2,True,1,900,0.999,4,linear - epsilon: 0.85
800,0.8160000000000437,-1.0,-2.968242107599846,-3.0000000000000004,-0.08571428571428572,0.0,0.999,0.8,0.0012121200561523438,0.2743358612060547,10,25,True,34,900,0.999,4,linear - epsilon: 0.85
900,0.8117500000000492,-1.0,-1.9924385548093173,-2.0,-0.11764705882352941,0.0,0.999,0.8,0.0005869865417480469,0.3112945556640625,6,11,True,16,900,0.999,4,linear - epsilon: 0.85
1000,0.8075000000000546,-1.0,-1.7930356772040332,-1.7999999999999998,-0.11249999999999999,0.0,0.999,0.8,0.0004658699035644531,0.35225367546081543,2,14,True,15,900,0.999,4,linear - epsilon: 0.85
1100,0.8032500000000601,-1.0,-1.0999,-1.1,-0.3666666666666667,0.0,0.999,0.8,0.00018596649169921875,0.39130473136901855,0,3,True,2,900,0.999,4,linear - epsilon: 0.85
1200,0.7990000000000655,-1.0,-1.1995005996001,-1.2,-0.24,0.0,0.999,0.8,0.00015306472778320312,0.43515539169311523,1,4,True,4,900,0.999,4,linear - epsilon: 0.85
1300,0.794750000000071,-1.0,-1.2987033940070944,-1.3,-0.14444444444444446,0.0,0.999,0.8,0.0002701282501220703,0.474273681640625,1,8,True,8,900,0.999,4,linear - epsilon: 0.85
1400,0.7905000000000765,-1.0,-1.1996002999,-1.2,-0.15000000000000002,0.0,0.999,0.8,0.00023508071899414062,0.5133144855499268,1,7,True,7,900,0.999,4,linear - epsilon: 0.85
1500,0.7862500000000819,-1.0,-1.891450197008179,-1.9,-0.08636363636363636,0.0,0.999,0.8,0.0006008148193359375,0.548640251159668,6,16,True,21,900,0.999,4,linear - epsilon: 0.85
1600,0.7820000000000874,-1.0,-1.7964083874125916,-1.7999999999999998,-0.2,-1.4802973661668753e-16,0.999,0.8,0.00027298927307128906,0.5868709087371826,0,9,True,8,900,0.999,4,linear - epsilon: 0.85
1700,0.7777500000000929,-1.0,-1.0999,-1.1,-0.55,0.0,0.999,0.8,6.604194641113281e-05,0.627368688583374,0,2,True,1,900,0.999,4,linear - epsilon: 0.85
1800,0.7735000000000983,-1.0,-1.6972055930055971,-1.7,-0.15454545454545454,0.0,0.999,0.8,0.00030803680419921875,0.6654229164123535,3,8,True,10,900,0.999,4,linear - epsilon: 0.85
1900,0.7692500000001038,-1.0,-2.0921381533505903,-2.0999999999999996,-0.09999999999999998,0.0,0.999,0.8,0.0005738735198974609,0.7078502178192139,6,15,True,20,900,0.999,4,linear - epsilon: 0.85
2000,0.7650000000001093,-1.0,-1.2994003999000001,-1.3,-0.325,0.0,0.999,0.8,0.0001251697540283203,0.7500803470611572,0,4,True,3,900,0.999,4,linear - epsilon: 0.85
2100,0.7607500000001147,-1.0,-1.9900579684825517,-2.0,-0.09090909090909091,0.0,0.999,0.8,0.0006201267242431641,0.7847249507904053,4,18,True,21,900,0.999,4,linear - epsilon: 0.85
2200,0.7565000000001202,-1.0,-1.0999,-1.1,-0.55,0.0,0.999,0.8,6.604194641113281e-05,0.8226339817047119,0,2,True,1,900,0.999,4,linear - epsilon: 0.85
2300,0.7522500000001257,-1.0,-1.6972055930055971,-1.7,-0.1888888888888889,0.0,0.999,0.8,0.0002951622009277344,0.8684847354888916,0,9,True,8,900,0.999,4,linear - epsilon: 0.85
