episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type,decay
0,0.85,-1.0,-1.1997001,-1.2,-0.39999999999999997,-0.39999999999999997,0.999,0.8,0.0001327991485595703,0.0001327991485595703,1,2,True,2,900,0.999,1,non-linear - epsilon: 0.85
100,0.7690733250466526,-1.0,-2.2909363000999,-2.3,-0.1642857142857143,-0.022224308357910887,0.999,0.8,0.0004222393035888672,0.039368629455566406,1,13,True,13,900,0.999,1,non-linear - epsilon: 0.85
200,0.6958515050568405,-1.0,-1.0999,-1.1,-0.1375,0.0,0.999,0.8,0.0002162456512451172,0.08275508880615234,3,5,True,7,900,0.999,1,non-linear - epsilon: 0.85
300,0.6296009773326846,-1.0,-1.5910942096368856,-1.6,-0.05,0.0,0.999,0.8,0.0008518695831298828,0.14216160774230957,15,17,True,31,900,0.999,1,non-linear - epsilon: 0.85
400,0.5696580201057291,-1.0,-1.2994003999000001,-1.3,-0.26,-1.0240066904421141e-07,0.999,0.8,0.0001499652862548828,0.1887218952178955,1,4,True,4,900,0.999,1,non-linear - epsilon: 0.85
500,0.515422103132007,-1.0,-3.019983767110572,-3.1000000000000005,-0.0348314606741573,0.0,0.999,0.8,0.0026068687438964844,0.26165270805358887,51,38,True,88,900,0.999,1,non-linear - epsilon: 0.85
600,0.46634987136267203,-1.0,-1.49425106361943,-1.5,-0.04411764705882353,0.0,0.999,0.8,0.0007922649383544922,0.33938050270080566,22,12,True,33,900,0.999,1,non-linear - epsilon: 0.85
700,0.42194970141643406,-1.0,-2.745766930772196,-2.8000000000000007,-0.04242424242424243,0.0,0.999,0.8,0.001585245132446289,0.4285147190093994,38,28,True,65,900,0.999,1,non-linear - epsilon: 0.85
800,0.38177677631856366,-1.0,-1.8793650116619,-1.9,-0.034545454545454546,0.0,0.999,0.8,0.0013890266418457031,0.5473599433898926,35,20,True,54,900,0.999,1,non-linear - epsilon: 0.85
900,0.34542862916342326,-1.0,-1.3920994871858592,-1.4,-0.04666666666666666,0.0,0.999,0.8,0.0007548332214355469,0.7110438346862793,19,11,True,29,900,0.999,1,non-linear - epsilon: 0.85
