episode,V_average,V_sum,time,epsilon
1,3.115049520539697,9.34514856161909,0.0037457942962646484,0.7980200000000007
2,4.42798057715008,13.283941731450241,0.00741267204284668,0.7960200000000015
3,6.860738465357573,20.58221539607272,0.011363744735717773,0.7940200000000023
4,9.43466910934343,28.30400732803029,0.015009641647338867,0.792020000000003
5,12.076831218211618,36.230493654634856,0.018784761428833008,0.7900200000000038
6,14.82841720150312,44.48525160450936,0.022438526153564453,0.7880200000000046
7,16.891956510446338,50.67586953133901,0.02606964111328125,0.7860200000000054
8,19.273166099108593,57.81949829732578,0.029906511306762695,0.7840200000000062
9,20.819893525277894,62.45968057583368,0.03356051445007324,0.7820200000000069
10,22.151189186374182,66.45356755912255,0.037308692932128906,0.7800200000000077
11,23.524976069850236,70.5749282095507,0.0416257381439209,0.7780200000000085
12,24.62379193205781,73.87137579617342,0.04651975631713867,0.7760200000000093
13,25.691760446633037,77.0752813398991,0.050249576568603516,0.77402000000001
14,26.49991799820809,79.49975399462427,0.05400967597961426,0.7720200000000108
15,27.642327435114158,82.92698230534248,0.05800151824951172,0.7700200000000116
16,28.455265060691445,85.36579518207434,0.06193852424621582,0.7680200000000124
17,29.313561667490905,87.94068500247272,0.06561541557312012,0.7660200000000131
18,30.07857113271074,90.23571339813222,0.06996345520019531,0.7640200000000139
19,31.181921103207646,93.54576330962294,0.07384061813354492,0.7620200000000147
20,31.819874671494134,95.4596240144824,0.07756161689758301,0.7600200000000155
21,32.541899437356726,97.62569831207017,0.08178448677062988,0.7580200000000162
22,33.373827951299674,100.12148385389902,0.0861964225769043,0.756020000000017
23,34.329144670493385,102.98743401148016,0.09090352058410645,0.7540200000000178
24,35.24202736646191,105.72608209938574,0.0957803726196289,0.7520200000000186
25,36.0400830655499,108.12024919664971,0.10009241104125977,0.7500200000000193
26,36.772255496074884,110.31676648822466,0.10390615463256836,0.7480200000000174
27,37.588128082097015,112.76438424629104,0.10769104957580566,0.7460200000000154
28,38.21987948159474,114.6596384447842,0.11131811141967773,0.7440200000000134
29,38.860587995255315,116.58176398576595,0.1152341365814209,0.7420200000000114
30,39.538588732911045,118.61576619873313,0.11887502670288086,0.7400200000000094
31,40.00284264742326,120.00852794226977,0.12257814407348633,0.7380200000000074
32,40.38299724794927,121.1489917438478,0.12620925903320312,0.7360200000000054
33,40.986322687270594,122.95896806181179,0.13004326820373535,0.7340200000000034
34,41.49035611254711,124.47106833764133,0.13376927375793457,0.7320200000000014
35,41.84460237221084,125.53380711663252,0.13744831085205078,0.7300199999999994
36,42.29615299059244,126.88845897177731,0.14101314544677734,0.7280199999999974
37,42.81742676497964,128.45228029493893,0.14497709274291992,0.7260199999999954
38,43.2452692659553,129.7358077978659,0.14876675605773926,0.7240199999999934
39,43.55814447465153,130.67443342395458,0.15259981155395508,0.7220199999999914
40,44.08500909362355,132.25502728087065,0.15626287460327148,0.7200199999999894
41,44.562403852667536,133.68721155800262,0.16007399559020996,0.7180199999999874
42,45.06336113711409,135.19008341134227,0.16391611099243164,0.7160199999999854
43,45.6534061953548,136.9602185860644,0.16792511940002441,0.7140199999999834
44,46.07320629027424,138.21961887082273,0.17206501960754395,0.7120199999999814
45,46.374161811607074,139.12248543482121,0.17618203163146973,0.7100199999999794
46,46.77166323409194,140.31498970227582,0.1800251007080078,0.7080199999999774
47,47.256617848690155,141.76985354607046,0.18432998657226562,0.7060199999999754
48,47.61047827714134,142.83143483142402,0.18859291076660156,0.7040199999999734
49,47.97035809767275,143.91107429301826,0.19275808334350586,0.7020199999999714
50,48.408848621493526,145.22654586448058,0.19665002822875977,0.7000199999999694
51,48.811173397516114,146.43352019254834,0.20118308067321777,0.6980199999999674
52,49.12636302790415,147.37908908371244,0.20513105392456055,0.6960199999999654
53,49.301059793472405,147.9031793804172,0.20890498161315918,0.6940199999999634
54,49.52992809522604,148.58978428567812,0.21268701553344727,0.6920199999999614
55,49.72312930137252,149.16938790411757,0.2164919376373291,0.6900199999999594
56,49.893761958538526,149.68128587561557,0.22050881385803223,0.6880199999999574
57,50.078598336667405,150.23579501000222,0.2242448329925537,0.6860199999999554
58,50.28633284689999,150.85899854069996,0.22797775268554688,0.6840199999999534
59,50.604764865605695,151.8142945968171,0.23454976081848145,0.6820199999999514
60,50.93060779839163,152.79182339517487,0.2383127212524414,0.6800199999999494
61,51.14301868644745,153.42905605934234,0.24215054512023926,0.6780199999999474
62,51.46618442366766,154.39855327100298,0.24709343910217285,0.6760199999999454
63,51.7758666136385,155.3275998409155,0.25138044357299805,0.6740199999999434
64,52.05643521631229,156.16930564893687,0.2550976276397705,0.6720199999999414
65,52.385491428696504,157.15647428608952,0.25898241996765137,0.6700199999999394
66,52.50735282740663,157.52205848221988,0.2627546787261963,0.6680199999999374
67,52.76311678377175,158.28935035131525,0.26645374298095703,0.6660199999999354
68,53.01731258658305,159.05193775974917,0.2701725959777832,0.6640199999999334
69,53.18852525725091,159.56557577175272,0.2739555835723877,0.6620199999999314
70,53.29329905467005,159.87989716401015,0.2776224613189697,0.6600199999999294
71,53.544890959171745,160.63467287751524,0.281266450881958,0.6580199999999274
72,53.816525393827675,161.44957618148302,0.28494954109191895,0.6560199999999254
73,53.96309532438081,161.88928597314242,0.28865957260131836,0.6540199999999234
74,54.27236289538617,162.8170886861585,0.292224645614624,0.6520199999999214
75,54.50349002906132,163.51047008718396,0.2958226203918457,0.6500199999999194
76,54.74534375153351,164.23603125460053,0.29936885833740234,0.6480199999999174
77,55.100225069905605,165.30067520971681,0.3028547763824463,0.6460199999999154
