episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type
36,0.4823114592649737,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00017881393432617188,0.008391141891479492,5,2,True,6,16,0.999,1
37,0.48182914780570874,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003871917724609375,0.00877833366394043,5,8,True,12,16,0.999,1
38,0.48134731865790303,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003390312194824219,0.009117364883422852,6,4,True,9,16,0.999,1
39,0.48086597133924514,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00015997886657714844,0.00927734375,4,2,True,5,16,0.999,1
40,0.4803851053679059,0.0,0.0,0.0,0.0,0.0,0.98,0.8,7.200241088867188e-05,0.009349346160888672,0,2,True,1,16,0.999,1
41,0.479904720262538,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00013685226440429688,0.009486198425292969,3,2,True,4,16,0.999,1
42,0.47942481554227545,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001270771026611328,0.009613275527954102,1,3,True,3,16,0.999,1
43,0.4789453907267332,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00047278404235839844,0.0100860595703125,11,7,True,17,16,0.999,1
44,0.47846644533600646,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002448558807373047,0.010330915451049805,2,6,True,7,16,0.999,1
45,0.47798797889067046,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00022411346435546875,0.010555028915405273,1,6,True,6,16,0.999,1
46,0.4775099909117798,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00015807151794433594,0.01071310043334961,1,4,True,4,16,0.999,1
47,0.47703248092086803,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00024819374084472656,0.010961294174194336,8,2,True,9,16,0.999,1
48,0.4765554484399472,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00020384788513183594,0.011165142059326172,3,4,True,6,16,0.999,1
49,0.47607889299150724,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00033402442932128906,0.011499166488647461,6,6,True,11,16,0.999,1
50,0.47560281409851574,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0006699562072753906,0.012169122695922852,17,9,True,25,16,0.999,1
51,0.4751272112844172,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0008938312530517578,0.01306295394897461,18,15,True,32,16,0.999,1
52,0.4746520840731328,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00037479400634765625,0.013437747955322266,7,6,True,12,16,0.999,1
53,0.47417743198905965,0.0,0.0,0.0,0.0,0.0,0.98,0.8,5.984306335449219e-05,0.013497591018676758,1,1,True,1,16,0.999,1
54,0.4737032545570706,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0004010200500488281,0.013898611068725586,6,8,True,13,16,0.999,1
55,0.4732295513025135,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0010018348693847656,0.014900445938110352,13,15,True,27,16,0.999,1
56,0.47275632175121096,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00023603439331054688,0.015136480331420898,1,6,True,6,16,0.999,1
57,0.47228356542945976,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0005822181701660156,0.015718698501586914,8,12,True,19,16,0.999,1
58,0.4718112818640303,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.392333984375e-05,0.015802621841430664,2,1,True,2,16,0.999,1
59,0.4713394705821663,0.0,0.0,0.0,0.0,0.0,0.98,0.8,9.489059448242188e-05,0.015897512435913086,1,2,True,2,16,0.999,1
60,0.47086813111158415,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00028395652770996094,0.016181468963623047,5,5,True,9,16,0.999,1
61,0.4703972629804726,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00021386146545410156,0.01639533042907715,5,3,True,7,16,0.999,1
62,0.4699268657174921,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0006320476531982422,0.01702737808227539,9,13,True,21,16,0.999,1
63,0.4694569388517746,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00022292137145996094,0.01725029945373535,4,4,True,7,16,0.999,1
64,0.46898748191292283,0.0,0.0,0.0,0.0,0.0,0.98,0.8,6.985664367675781e-05,0.01732015609741211,0,2,True,1,16,0.999,1
65,0.4685184944310099,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0006330013275146484,0.017953157424926758,17,8,True,24,16,0.999,1
66,0.4680499759365789,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00023293495178222656,0.018186092376708984,9,1,True,9,16,0.999,1
67,0.4675819259606423,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.082389831542969e-05,0.018266916275024414,2,1,True,2,16,0.999,1
68,0.46711434403468166,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00012493133544921875,0.018391847610473633,1,3,True,3,16,0.999,1
