episode,V_average,V_sum,time,epsilon
1,2.771360133399302,8.314080400197906,0.0029947757720947266,0.21667906533553172
2,3.748979786643531,11.246939359930593,0.005967855453491211,0.18856166434639032
3,4.608954253081477,13.826862759244431,0.009080171585083008,0.17522002442754658
4,5.244236559284171,15.732709677852514,0.012371063232421875,0.166834573783595
5,5.8035179484476105,17.410553845342832,0.015351057052612305,0.1608594760130434
6,6.223136614384944,18.66940984315483,0.018300294876098633,0.1562843108887373
7,6.604506316185801,19.8135189485574,0.021249055862426758,0.15261332259953386
8,6.849600882474513,20.54880264742354,0.024125099182128906,0.1495693685401105
9,7.145295224526482,21.435885673579445,0.02702617645263672,0.14698305684142787
10,7.340061076313893,22.02018322894168,0.02988600730895996,0.1447438839476537
11,7.55391298015067,22.66173894045201,0.03282427787780762,0.14277608404589615
12,7.783839841822711,23.35151952546813,0.036350250244140625,0.14102562648394656
13,8.019688950445735,24.059066851337207,0.040145158767700195,0.13945273350666243
14,8.18455376115985,24.55366128347955,0.04416513442993164,0.13802733860642302
15,8.368371913001171,25.105115739003516,0.04780220985412598,0.13672620632778687
16,8.545468268025694,25.63640480407708,0.05161023139953613,0.13553103754126283
17,8.681557024720474,26.04467107416142,0.05482912063598633,0.1344271835937918
18,8.83741309304058,26.512239279121737,0.057830095291137695,0.1334027499847692
19,8.95293048200221,26.85879144600663,0.060738325119018555,0.1324479568429051
20,9.020986790287973,27.06296037086392,0.06365251541137695,0.13155467320159442
21,9.169727807860374,27.50918342358112,0.06655359268188477,0.130716071645524
22,9.232164381181413,27.696493143544238,0.06948375701904297,0.12992636805094504
23,9.277092377265655,27.831277131796966,0.07220864295959473,0.1291806225923704
24,9.388729015028566,28.1661870450857,0.07502579689025879,0.12847458559243763
25,9.492134488515106,28.476403465545317,0.07784485816955566,0.12780457668621603
26,9.58663449503728,28.759903485111842,0.0807342529296875,0.12716738907202108
27,9.661988630307023,28.98596589092107,0.08368515968322754,0.12656021288744124
28,9.752730014962253,29.25819004488676,0.08651423454284668,0.12598057333163437
29,9.805159763657123,29.41547929097137,0.0895223617553711,0.12542628027641056
30,9.88186304058413,29.645589121752394,0.0923147201538086,0.12489538691450885
31,9.991559311167942,29.974677933503827,0.0957646369934082,0.12438615558006039
32,10.063270765986589,30.18981229795977,0.09925961494445801,0.12389702930825786
33,10.144242323672383,30.43272697101715,0.10315060615539551,0.12342660802295768
34,10.210769609820106,30.63230882946032,0.10668373107910156,0.1229736284829599
35,10.27648717350069,30.829461520502072,0.11013555526733398,0.12253694730151266
36,10.32159157350135,30.964774720504046,0.11324381828308105,0.12211552649443935
37,10.37550077746752,31.12650233240256,0.11671996116638184,0.12170842112111058
38,10.42259955453636,31.26779866360908,0.12029409408569336,0.12131476866724167
39,10.452646831313428,31.357940493940283,0.12390804290771484,0.12093377988498333
40,10.499263591449585,31.497790774348754,0.1280200481414795,0.120564730858303
41,10.528496640498885,31.585489921496652,0.13221096992492676,0.12020695610342436
42,10.571550990821768,31.714652972465306,0.13533329963684082,0.1198598425475127
43,10.60520276460432,31.815608293812957,0.13897037506103516,0.11952282425569372
44,10.63119856611368,31.893595698341038,0.1425004005432129,0.11919537779826672
45,10.672451165170664,32.01735349551199,0.14581942558288574,0.11887701816768415
46,10.690189132500562,32.070567397501684,0.15031647682189941,0.11856729516935871
47,10.729230756362293,32.18769226908688,0.15329360961914062,0.11826579022225825
48,10.78687950407985,32.360638512239554,0.15636873245239258,0.11797211351507841
49,10.827683424407327,32.483050273221984,0.15941572189331055,0.11768590147192459
50,10.861720066298943,32.58516019889683,0.1624598503112793,0.11740681448821866
51,10.893973179337499,32.681919538012494,0.16550374031066895,0.11713453490321424
52,10.927829894953403,32.78348968486021,0.16853570938110352,0.11686876518025724
53,10.945078355552374,32.83523506665712,0.17156076431274414,0.11660922626993886
54,10.977025469723563,32.931076409170686,0.17457985877990723,0.11635565613466625
55,11.008785402126792,33.02635620638038,0.17766094207763672,0.1161078084160525
56,11.036854166700222,33.11056250010066,0.180617094039917,0.11586545122896319
57,11.068026384824512,33.20407915447353,0.18373417854309082,0.11562836606814386
58,11.098989323348091,33.29696797004427,0.18688225746154785,0.11539634681513466
59,11.106655788967638,33.319967366902915,0.1901073455810547,0.11516919883470789
60,11.127425170292716,33.382275510878145,0.1934823989868164,0.11494673815138312
61,11.159511437591787,33.47853431277536,0.19667553901672363,0.1147287906977108
62,11.183474075707501,33.5504222271225,0.19971084594726562,0.11451519162699775
63,11.199856759652336,33.59957027895701,0.20282578468322754,0.11430578468400443
64,11.220072556935365,33.6602176708061,0.20600581169128418,0.11410042162788259
65,11.243656356932924,33.73096907079877,0.2094266414642334,0.11389896170227154
66,11.263508165769105,33.79052449730732,0.21244072914123535,0.11370127114803252
67,11.27481477499537,33.82444432498611,0.21553993225097656,0.1135072227545999
68,11.285910299036429,33.857730897109285,0.21854519844055176,0.11331669544635903
69,11.314807734058201,33.944423202174605,0.2217552661895752,0.11312957390084033
70,11.33206216826183,33.99618650478549,0.22506427764892578,0.11294574819586045
71,11.340181817327133,34.0205454519814,0.2287914752960205,0.1127651134830322
72,11.369532304384991,34.108596913154976,0.2321326732635498,0.11258756968533101
73,11.383528354942667,34.150585064828,0.23540878295898438,0.1124130212166361
74,11.402952363020175,34.20885708906052,0.2389388084411621,0.11224137672137069
75,11.40824643677999,34.22473931033997,0.24214601516723633,0.11207254883254936
76,11.42115042944611,34.26345128833833,0.24561691284179688,0.11190645394670418
77,11.438132214642572,34.314396643927715,0.24879813194274902,0.11174301201430425
