algname,gamma,threshold,num_states,Iteration,variation,V_max_diff,# chg actions,clock_time
vi-forest,0.95,0.0005263157894736847,50,1,4.0,4.0,0,6.4849853515625e-05
vi-forest,0.95,0.0005263157894736847,50,2,3.42,3.42,1,9.989738464355469e-05
vi-forest,0.95,0.0005263157894736847,50,3,2.9240999999999993,3.005324999999999,2,0.00015592575073242188
vi-forest,0.95,0.0005263157894736847,50,4,2.5001055000000005,2.5772692500000005,3,0.00021004676818847656
vi-forest,0.95,0.0005263157894736847,50,5,2.1375902024999998,2.2702732706249997,3,0.0002560615539550781
vi-forest,0.95,0.0005263157894736847,50,6,1.8276396231375016,1.9536885378562516,4,0.0002911090850830078
vi-forest,0.95,0.0005263157894736847,50,7,1.5626318777825632,1.7257847878148915,5,0.0003230571746826172
vi-forest,0.95,0.0005263157894736847,50,8,1.3360502555040918,1.4910455200348034,6,0.0003540515899658203
vi-forest,0.95,0.0005263157894736847,50,9,1.1423229684559981,1.3212996633283964,6,0.0003840923309326172
vi-forest,0.95,0.0005263157894736847,50,10,0.9766861380298817,1.1467139981586598,7,0.00041413307189941406
vi-forest,0.95,0.0005263157894736847,50,11,0.8350666480155504,1.0197894109160988,7,0.00044727325439453125
vi-forest,0.95,0.0005263157894736847,50,12,0.7139819840532962,0.8894686088088175,8,0.0004782676696777344
vi-forest,0.95,0.0005263157894736847,50,13,0.6104545963655692,0.7941239620045799,8,0.0005080699920654297
vi-forest,0.95,0.0005263157894736847,50,14,0.5219386798925623,0.6964245772496227,9,0.0005381107330322266
vi-forest,0.95,0.0005263157894736847,50,15,0.44625757130814314,0.6244152174447981,9,0.0005681514739990234
vi-forest,0.95,0.0005263157894736847,50,16,0.38155022346846224,0.5507999872982845,10,0.0005979537963867188
vi-forest,0.95,0.0005263157894736847,50,17,0.3262254410655352,0.4960745345112425,10,0.0006299018859863281
vi-forest,0.95,0.0005263157894736847,50,18,0.2789227521110318,0.440279390884454,10,0.0006597042083740234
vi-forest,0.95,0.0005263157894736847,50,19,0.2384789530549316,0.3983921752523205,10,0.0006895065307617188
vi-forest,0.95,0.0005263157894736847,50,20,0.20389950486196629,0.3558170659494859,11,0.0007195472717285156
vi-forest,0.95,0.0005263157894736847,50,21,0.17433407665698297,0.32349837293059736,11,0.0007493495941162109
vi-forest,0.95,0.0005263157894736847,50,22,0.1490556355417203,0.2907617170016543,11,0.0007791519165039062
vi-forest,0.95,0.0005263157894736847,50,23,0.12744256838817059,0.2656034171192232,11,0.0008089542388916016
vi-forest,0.95,0.0005263157894736847,50,24,0.10896339597188653,0.24021620226638696,11,0.0008389949798583984
vi-forest,0.95,0.0005263157894736847,50,25,0.09316370355596337,0.22044175019007106,12,0.0008690357208251953
vi-forest,0.95,0.0005263157894736847,50,26,0.07965496654035054,0.20056911084275342,12,0.0008988380432128906
vi-forest,0.95,0.0005263157894736847,50,27,0.06810499639199907,0.1848652389346146,12,0.0009298324584960938
vi-forest,0.95,0.0005263157894736847,50,28,0.0582297719151601,0.16915200233064454,12,0.0009596347808837891
vi-forest,0.95,0.0005263157894736847,50,29,0.049786454987462925,0.15654553096515755,12,0.0009894371032714844
vi-forest,0.95,0.0005263157894736847,50,30,0.04256741901428196,0.14398854119309235,12,0.0010223388671875
vi-forest,0.95,0.0005263157894736847,50,31,0.03639514325721205,0.13375618552867152,12,0.0010523796081542969
vi-forest,0.95,0.0005263157894736847,50,32,0.031117847484914307,0.12361083764280067,12,0.0010833740234375
vi-forest,0.95,0.0005263157894736847,50,33,0.02660575959960454,0.11521314912736358,12,0.0011134147644042969
vi-forest,0.95,0.0005263157894736847,50,34,0.022747924457661384,0.10692494450903212,12,0.001142263412475586
vi-forest,0.95,0.0005263157894736847,50,35,0.019449475411300376,0.09995790766597246,12,0.0011723041534423828
vi-forest,0.95,0.0005263157894736847,50,36,0.01662930147666053,0.09311231211860083,12,0.0012013912200927734
vi-forest,0.95,0.0005263157894736847,50,37,0.014218052762544175,0.08727185878245791,12,0.0012302398681640625
vi-forest,0.95,0.0005263157894736847,50,38,0.012156435111977615,0.08155755083089566,12,0.0012602806091308594
vi-forest,0.95,0.0005263157894736847,50,39,0.010393752020740443,0.07661352728762161,12,0.0012896060943603516
vi-forest,0.95,0.0005263157894736847,50,40,0.008886657977733137,0.07179544448127118,12,0.00131988525390625
vi-forest,0.95,0.0005263157894736847,50,41,0.007598092570967552,0.0675724978762986,12,0.0013492107391357422
vi-forest,0.95,0.0005263157894736847,50,42,0.006496369148177195,0.06347205418824231,12,0.0013785362243652344
vi-forest,0.95,0.0005263157894736847,50,43,0.005554395621690134,0.059835585177021144,12,0.0014095306396484375
vi-forest,0.95,0.0005263157894736847,50,44,0.004749008256546006,0.05631613833410931,12,0.0014393329620361328
vi-forest,0.95,0.0005263157894736847,50,45,0.004060402059346657,0.05316196457912348,12,0.0014691352844238281
vi-forest,0.95,0.0005263157894736847,50,46,0.0034716437607436035,0.050118128154529984,12,0.0014979839324951172
vi-forest,0.95,0.0005263157894736847,50,47,0.0029682554154373264,0.04736486712885224,12,0.0015277862548828125
vi-forest,0.95,0.0005263157894736847,50,48,0.0025378583802009302,0.0447146395079443,12,0.0015566349029541016
vi-forest,0.95,0.0005263157894736847,50,49,0.00216986891507176,0.042298085122958184,12,0.0015864372253417969
vi-forest,0.95,0.0005263157894736847,50,50,0.0018552379223883975,0.03997704331987961,12,0.001615285873413086
vi-forest,0.95,0.0005263157894736847,50,51,0.0015862284236458635,0.037846005451918074,12,0.0016455650329589844
