episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type,decay
0,0.5,-1.0,-2.0934219505791076,-2.0999999999999996,-0.13999999999999999,-0.12933333333333333,0.999,0.8,0.0005030632019042969,0.0005030632019042969,7,8,True,14,900,0.999,3,linear - epsilon: 0.5
100,0.4975000000000003,-1.0,-1.4977087709714714,-1.5,-0.10714285714285714,-3.945893831918441e-08,0.999,0.8,0.0003490447998046875,0.07048559188842773,8,6,True,13,900,0.999,3,linear - epsilon: 0.5
200,0.49500000000000055,-1.0,-1.7880419272425034,-1.7999999999999998,-0.04864864864864865,0.0,0.999,0.8,0.0009572505950927734,0.16025853157043457,17,20,True,36,900,0.999,3,linear - epsilon: 0.5
300,0.4925000000000008,-1.0,-1.2987033940070944,-1.3,-0.14444444444444446,0.0,0.999,0.8,0.00025773048400878906,0.24074792861938477,3,6,True,8,900,0.999,3,linear - epsilon: 0.5
400,0.4900000000000011,-1.0,-2.1753183703251975,-2.2,-0.05238095238095238,0.0,0.999,0.8,0.0009999275207519531,0.34040307998657227,26,16,True,41,900,0.999,3,linear - epsilon: 0.5
500,0.4875000000000014,-1.0,-3.407348395157467,-3.500000000000001,-0.04605263157894737,0.0,0.999,0.8,0.002233266830444336,0.4399878978729248,39,37,True,75,900,0.999,3,linear - epsilon: 0.5
600,0.48500000000000165,-1.0,-1.2983056881160855,-1.3,-0.13,0.0,0.999,0.8,0.00030493736267089844,0.5588421821594238,2,8,True,9,900,0.999,3,linear - epsilon: 0.5
700,0.4825000000000019,-1.0,-1.199202096503498,-1.2,-0.0923076923076923,0.0,0.999,0.8,0.0003330707550048828,0.6658906936645508,8,5,True,12,900,0.999,3,linear - epsilon: 0.5
800,0.4800000000000022,-1.0,-1.3953338386577117,-1.4,-0.06363636363636363,0.0,0.999,0.8,0.0005850791931152344,0.7651550769805908,12,10,True,21,900,0.999,3,linear - epsilon: 0.5
900,0.4775000000000025,-1.0,-1.3960269744204459,-1.4,-0.05833333333333334,0.0,0.999,0.8,0.0006299018859863281,0.8646175861358643,14,10,True,23,900,0.999,3,linear - epsilon: 0.5
1000,0.47500000000000275,-1.0,-1.3982069779494208,-1.4,-0.06999999999999999,-5.1200000017459505e-09,0.999,0.8,0.0007081031799316406,0.9694921970367432,10,10,True,19,900,0.999,3,linear - epsilon: 0.5
1100,0.47250000000000303,-1.0,-1.694629184737346,-1.7,-0.060714285714285714,0.0,0.999,0.8,0.0007460117340087891,1.0773029327392578,17,11,True,27,900,0.999,3,linear - epsilon: 0.5
1200,0.4700000000000033,-1.0,-2.2762713660181992,-2.3,-0.046938775510204075,0.0,0.999,0.8,0.0016529560089111328,1.1837680339813232,25,24,True,48,900,0.999,3,linear - epsilon: 0.5
1300,0.4675000000000036,-1.0,-1.5953195485934755,-1.6,-0.1,0.0,0.999,0.8,0.0006120204925537109,1.281984806060791,4,12,True,15,900,0.999,3,linear - epsilon: 0.5
1400,0.46500000000000385,-1.0,-1.8812487856983764,-1.9,-0.04523809523809524,0.0,0.999,0.8,0.00102996826171875,1.3788468837738037,23,19,True,41,900,0.999,3,linear - epsilon: 0.5
1500,0.46250000000000413,-1.0,-3.0368198667879884,-3.1000000000000005,-0.049206349206349205,0.0,0.999,0.8,0.0016987323760986328,1.4729902744293213,28,35,True,62,900,0.999,3,linear - epsilon: 0.5
1600,0.4600000000000044,-1.0,-1.4906144312531922,-1.5,-0.04285714285714286,0.0,0.999,0.8,0.0011560916900634766,1.5610356330871582,21,14,True,34,900,0.999,3,linear - epsilon: 0.5
1700,0.4575000000000047,-1.0,-1.1997001,-1.2,-0.17142857142857143,0.0,0.999,0.8,0.00023818016052246094,1.6714890003204346,3,4,True,6,900,0.999,3,linear - epsilon: 0.5
1800,0.45500000000000496,-1.0,-1.0999,-1.1,-0.55,0.0,0.999,0.8,7.295608520507812e-05,1.7815806865692139,0,2,True,1,900,0.999,3,linear - epsilon: 0.5
1900,0.45250000000000523,-1.0,-1.3987021976015994,-1.4,-0.19999999999999998,0.0,0.999,0.8,0.0002837181091308594,1.896650791168213,2,5,True,6,900,0.999,3,linear - epsilon: 0.5
2000,0.4500000000000055,-1.0,-1.1990035916125874,-1.2,-0.12,0.0,0.999,0.8,0.0003631114959716797,2.008424997329712,5,5,True,9,900,0.999,3,linear - epsilon: 0.5
2100,0.4475000000000058,-1.0,-3.370887177171292,-3.500000000000001,-0.03571428571428572,0.0,0.999,0.8,0.002502918243408203,2.1111936569213867,56,42,True,97,900,0.999,3,linear - epsilon: 0.5
2200,0.44500000000000606,-1.0,-2.264015617410828,-2.3,-0.0396551724137931,0.0,0.999,0.8,0.0014619827270507812,2.2246320247650146,34,24,True,57,900,0.999,3,linear - epsilon: 0.5
2300,0.44250000000000633,-1.0,-2.261889311266234,-2.3,-0.04107142857142858,0.0,0.999,0.8,0.00177001953125,2.3460724353790283,29,27,True,55,900,0.999,3,linear - epsilon: 0.5
2400,0.4400000000000066,-1.0,-1.2985042924084937,-1.3,-0.13,0.0,0.999,0.8,0.0002620220184326172,2.4560649394989014,6,4,True,9,900,0.999,3,linear - epsilon: 0.5
2500,0.4375000000000069,-1.0,-1.8919446210483781,-1.9,-0.08260869565217391,0.0,0.999,0.8,0.0006530284881591797,2.5520336627960205,8,15,True,22,900,0.999,3,linear - epsilon: 0.5
2600,0.43500000000000716,-1.0,-1.1995005996001,-1.2,-0.19999999999999998,0.0,0.999,0.8,0.0001862049102783203,2.661932945251465,2,4,True,5,900,0.999,3,linear - epsilon: 0.5
2700,0.43250000000000743,-1.0,-3.6579435083743577,-3.800000000000001,-0.04269662921348314,0.0,0.999,0.8,0.0025141239166259766,2.7846932411193848,45,44,True,88,900,0.999,3,linear - epsilon: 0.5
2800,0.4300000000000077,-1.0,-3.512489581687472,-3.600000000000001,-0.05714285714285715,0.0,0.999,0.8,0.0017480850219726562,2.9361658096313477,29,34,True,62,900,0.999,3,linear - epsilon: 0.5
2900,0.427500000000008,-1.0,-2.3649040896326534,-2.4000000000000004,-0.04528301886792453,0.0,0.999,0.8,0.0019838809967041016,3.0404436588287354,30,23,True,52,900,0.999,3,linear - epsilon: 0.5
3000,0.42500000000000826,-1.0,-2.077797655884062,-2.0999999999999996,-0.04883720930232558,0.0,0.999,0.8,0.0011279582977294922,3.1676063537597656,24,19,True,42,900,0.999,3,linear - epsilon: 0.5
3100,0.42250000000000854,-1.0,-1.0999,-1.1,-0.15714285714285717,0.0,0.999,0.8,0.0002079010009765625,3.3152542114257812,3,4,True,6,900,0.999,3,linear - epsilon: 0.5
3200,0.4200000000000088,-1.0,-1.3957335084302736,-1.4,-0.055999999999999994,0.0,0.999,0.8,0.0007112026214599609,3.432476758956909,17,8,True,24,900,0.999,3,linear - epsilon: 0.5
3300,0.4175000000000091,-1.0,-2.6422022433553165,-2.7,-0.04029850746268657,0.0,0.999,0.8,0.002187967300415039,3.5613718032836914,39,28,True,66,900,0.999,3,linear - epsilon: 0.5
3400,0.41500000000000936,-1.0,-1.590391121628459,-1.6,-0.042105263157894736,0.0,0.999,0.8,0.0009508132934570312,3.6888270378112793,23,15,True,37,900,0.999,3,linear - epsilon: 0.5
3500,0.41250000000000964,-1.0,-3.9089883297625456,-4.000000000000002,-0.0425531914893617,-0.0034243806056616236,0.999,0.8,0.003136157989501953,3.8277392387390137,50,44,True,93,900,0.999,3,linear - epsilon: 0.5
3600,0.4100000000000099,-1.0,-2.1661124204355016,-2.2,-0.032835820895522394,0.0,0.999,0.8,0.0017120838165283203,3.9745304584503174,45,22,True,66,900,0.999,3,linear - epsilon: 0.5
3700,0.4075000000000102,-1.0,-1.8822938040849864,-1.9,-0.038,0.0,0.999,0.8,0.002385854721069336,4.142722129821777,30,20,True,49,900,0.999,3,linear - epsilon: 0.5
3800,0.40500000000001046,-1.0,-2.0641262723842537,-2.0999999999999996,-0.030882352941176472,0.0,0.999,0.8,0.002582073211669922,4.321622610092163,41,27,True,67,900,0.999,3,linear - epsilon: 0.5
3900,0.40250000000001074,-1.0,-2.4534467629533614,-2.5,-0.03333333333333333,0.0,0.999,0.8,0.001928091049194336,4.48932671546936,50,25,True,74,900,0.999,3,linear - epsilon: 0.5
4000,0.400000000000011,-1.0,-1.4939525670147704,-1.5,-0.05357142857142857,0.0,0.999,0.8,0.0007500648498535156,4.659522294998169,16,12,True,27,900,0.999,3,linear - epsilon: 0.5
4100,0.3975000000000113,-1.0,-2.554461316488452,-2.6000000000000005,-0.047272727272727286,0.0,0.999,0.8,0.0014481544494628906,4.822373628616333,31,24,True,54,900,0.999,3,linear - epsilon: 0.5
4200,0.39500000000001156,-1.0,-1.297417315208643,-1.3,-0.06842105263157895,0.0,0.999,0.8,0.0004980564117431641,4.984428644180298,10,9,True,18,900,0.999,3,linear - epsilon: 0.5
4300,0.39250000000001184,-1.0,-1.776124212905882,-1.7999999999999998,-0.04090909090909091,0.0,0.999,0.8,0.0014159679412841797,5.122795820236206,24,20,True,43,900,0.999,3,linear - epsilon: 0.5
4400,0.3900000000000121,-1.0,-1.6893054343363862,-1.7,-0.053125000000000006,0.0,0.999,0.8,0.0008282661437988281,5.281080722808838,19,13,True,31,900,0.999,3,linear - epsilon: 0.5
4500,0.3875000000000124,-1.0,-2.088053315638902,-2.0999999999999996,-0.04772727272727273,-1.5770213417970973e-16,0.999,0.8,0.0013580322265625,5.424395561218262,28,16,True,43,900,0.999,3,linear - epsilon: 0.5
4600,0.38500000000001267,-1.0,-1.2991012989005,-1.3,-0.13,0.0,0.999,0.8,0.00028014183044433594,5.581506252288818,5,5,True,9,900,0.999,3,linear - epsilon: 0.5
4700,0.38250000000001294,-1.0,-1.9650128127709223,-2.0,-0.04,0.0,0.999,0.8,0.0012390613555908203,5.760621547698975,35,15,True,49,900,0.999,3,linear - epsilon: 0.5
4800,0.3800000000000132,-1.0,-2.5496994830750657,-2.6000000000000005,-0.04,0.0,0.999,0.8,0.0018601417541503906,5.918562650680542,35,30,True,64,900,0.999,3,linear - epsilon: 0.5
4900,0.3775000000000135,-1.0,-2.7333014446826565,-2.8000000000000007,-0.037333333333333336,0.0,0.999,0.8,0.002797842025756836,6.082489967346191,49,26,True,74,900,0.999,3,linear - epsilon: 0.5
5000,0.37500000000001377,-1.0,-3.2468184577179664,-3.400000000000001,-0.026984126984126985,0.0,0.999,0.8,0.00372314453125,6.250184059143066,86,40,True,125,900,0.999,3,linear - epsilon: 0.5
5100,0.37250000000001404,-1.0,-1.4941463540290674,-1.5,-0.07142857142857142,0.0,0.999,0.8,0.0005478858947753906,6.393601894378662,13,8,True,20,900,0.999,3,linear - epsilon: 0.5
5200,0.3700000000000143,-1.0,-1.2980092694728709,-1.3,-0.03823529411764706,0.0,0.999,0.8,0.0008211135864257812,6.551348924636841,23,11,True,33,900,0.999,3,linear - epsilon: 0.5
5300,0.3675000000000146,-1.0,-2.1688763971679004,-2.2,-0.03728813559322034,0.0,0.999,0.8,0.0015087127685546875,6.712501049041748,38,21,True,58,900,0.999,3,linear - epsilon: 0.5
5400,0.36500000000001487,-1.0,-1.0999,-1.1,-0.18333333333333335,0.0,0.999,0.8,0.0001800060272216797,6.915301322937012,2,4,True,5,900,0.999,3,linear - epsilon: 0.5
5500,0.36250000000001514,-1.0,-1.0999,-1.1,-0.22000000000000003,0.0,0.999,0.8,0.0001380443572998047,7.097262382507324,3,2,True,4,900,0.999,3,linear - epsilon: 0.5
5600,0.3600000000000154,-1.0,-2.646627649060156,-2.7,-0.03375,0.0,0.999,0.8,0.0024220943450927734,7.2678797245025635,52,28,True,79,900,0.999,3,linear - epsilon: 0.5
5700,0.3575000000000157,-1.0,-1.0999,-1.1,-0.55,0.0,0.999,0.8,8.988380432128906e-05,7.438348293304443,0,2,True,1,900,0.999,3,linear - epsilon: 0.5
5800,0.35500000000001597,-1.0,-1.2991012989005,-1.3,-0.14444444444444446,0.0,0.999,0.8,0.0002598762512207031,7.643696308135986,4,5,True,8,900,0.999,3,linear - epsilon: 0.5
5900,0.35250000000001624,-1.0,-1.7866609291896678,-1.7999999999999998,-0.04615384615384615,0.0,0.999,0.8,0.000982046127319336,7.80405592918396,21,18,True,38,900,0.999,3,linear - epsilon: 0.5
