algname,gamma,threshold,num_states,Iteration,variation,V_max_diff,# chg actions,clock_time
vi-forest,0.95,5.263157894736847e-06,5000,1,4.0,4.0,0,0.017343997955322266
vi-forest,0.95,5.263157894736847e-06,5000,2,3.42,3.42,1,0.03579592704772949
vi-forest,0.95,5.263157894736847e-06,5000,3,2.9240999999999993,3.005324999999999,2,0.05518794059753418
vi-forest,0.95,5.263157894736847e-06,5000,4,2.5001055000000005,2.5772692500000005,3,0.07507872581481934
vi-forest,0.95,5.263157894736847e-06,5000,5,2.1375902024999998,2.2702732706249997,3,0.09558701515197754
vi-forest,0.95,5.263157894736847e-06,5000,6,1.8276396231375016,1.9536885378562516,4,0.11679887771606445
vi-forest,0.95,5.263157894736847e-06,5000,7,1.5626318777825632,1.7257847878148915,5,0.13876700401306152
vi-forest,0.95,5.263157894736847e-06,5000,8,1.3360502555040918,1.4910455200348034,6,0.1621229648590088
vi-forest,0.95,5.263157894736847e-06,5000,9,1.1423229684559981,1.3212996633283964,6,0.18728303909301758
vi-forest,0.95,5.263157894736847e-06,5000,10,0.9766861380298817,1.1467139981586598,7,0.21847891807556152
vi-forest,0.95,5.263157894736847e-06,5000,11,0.8350666480155504,1.0197894109160988,7,0.24126219749450684
vi-forest,0.95,5.263157894736847e-06,5000,12,0.7139819840532962,0.8894686088088175,8,0.2603590488433838
vi-forest,0.95,5.263157894736847e-06,5000,13,0.6104545963655692,0.7941239620045799,8,0.2810401916503906
vi-forest,0.95,5.263157894736847e-06,5000,14,0.5219386798925623,0.6964245772496227,9,0.3008460998535156
vi-forest,0.95,5.263157894736847e-06,5000,15,0.44625757130814314,0.6244152174447981,9,0.3253481388092041
vi-forest,0.95,5.263157894736847e-06,5000,16,0.38155022346846224,0.5507999872982845,10,0.34723520278930664
vi-forest,0.95,5.263157894736847e-06,5000,17,0.3262254410655352,0.4960745345112425,10,0.3712599277496338
vi-forest,0.95,5.263157894736847e-06,5000,18,0.2789227521110318,0.440279390884454,10,0.39397096633911133
vi-forest,0.95,5.263157894736847e-06,5000,19,0.2384789530549316,0.3983921752523205,10,0.4153728485107422
vi-forest,0.95,5.263157894736847e-06,5000,20,0.2038995048619654,0.35581706594948503,11,0.44098901748657227
vi-forest,0.95,5.263157894736847e-06,5000,21,0.17433407665698297,0.32349837293059736,11,0.4726738929748535
vi-forest,0.95,5.263157894736847e-06,5000,22,0.1490556355417203,0.2907617170016543,11,0.5065770149230957
vi-forest,0.95,5.263157894736847e-06,5000,23,0.12744256838817059,0.2656034171192232,11,0.5342369079589844
vi-forest,0.95,5.263157894736847e-06,5000,24,0.10896339597188653,0.24021620226638696,11,0.5587160587310791
vi-forest,0.95,5.263157894736847e-06,5000,25,0.0931637035559616,0.22044175019006929,12,0.5769240856170654
vi-forest,0.95,5.263157894736847e-06,5000,26,0.07965496654035054,0.20056911084275342,12,0.5964810848236084
vi-forest,0.95,5.263157894736847e-06,5000,27,0.0681049963919973,0.18486523893461282,12,0.6159207820892334
vi-forest,0.95,5.263157894736847e-06,5000,28,0.0582297719151601,0.16915200233064454,12,0.6358888149261475
vi-forest,0.95,5.263157894736847e-06,5000,29,0.049786454987462925,0.15654553096515755,12,0.6565041542053223
vi-forest,0.95,5.263157894736847e-06,5000,30,0.04256741901428196,0.14398854119309235,12,0.685889482498169
vi-forest,0.95,5.263157894736847e-06,5000,31,0.03639514325721205,0.13375618552867152,12,0.7128775119781494
vi-forest,0.95,5.263157894736847e-06,5000,32,0.031117847484916084,0.12361083764280245,12,0.7420105934143066
vi-forest,0.95,5.263157894736847e-06,5000,33,0.02660575959960454,0.11521314912736358,12,0.7710075378417969
vi-forest,0.95,5.263157894736847e-06,5000,34,0.022747924457661384,0.10692494450903212,12,0.7910113334655762
vi-forest,0.95,5.263157894736847e-06,5000,35,0.019449475411300376,0.09995790766597246,12,0.8098125457763672
vi-forest,0.95,5.263157894736847e-06,5000,36,0.01662930147666053,0.09311231211860083,12,0.8289024829864502
vi-forest,0.95,5.263157894736847e-06,5000,37,0.014218052762544175,0.08727185878245791,12,0.8492352962493896
vi-forest,0.95,5.263157894736847e-06,5000,38,0.012156435111977615,0.08155755083089566,12,0.8720502853393555
vi-forest,0.95,5.263157894736847e-06,5000,39,0.01039375202074222,0.07661352728762338,12,0.900484561920166
vi-forest,0.95,5.263157894736847e-06,5000,40,0.008886657977733137,0.07179544448127118,12,0.9279656410217285
vi-forest,0.95,5.263157894736847e-06,5000,41,0.007598092570967552,0.0675724978762986,12,0.9555165767669678
vi-forest,0.95,5.263157894736847e-06,5000,42,0.006496369148177195,0.06347205418824231,12,0.9818143844604492
vi-forest,0.95,5.263157894736847e-06,5000,43,0.005554395621690134,0.059835585177021144,12,1.0049152374267578
vi-forest,0.95,5.263157894736847e-06,5000,44,0.004749008256546006,0.05631613833410931,12,1.0242390632629395
vi-forest,0.95,5.263157894736847e-06,5000,45,0.004060402059346657,0.05316196457912348,12,1.043219804763794
vi-forest,0.95,5.263157894736847e-06,5000,46,0.0034716437607436035,0.050118128154529984,12,1.063391923904419
