env_name,algname,gamma,epsilon,threshold,Iteration,V_variation,V_max_diff,V_average,V_sum,clock_time,# chg action at iter,# chg actions
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,1,0.88,0.88,0.004177777777777778,3.76,0.00870966911315918,2,2
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,2,0.7624,0.7624,0.007566222222222221,6.809599999999999,0.012953758239746094,4,6
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,3,0.647152,0.647152,0.010442453333333334,9.398208,0.017251968383789062,4,10
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,4,0.53420896,0.53420896,0.012816715377777777,11.53504384,0.02179861068725586,4,14
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,5,0.4235247808,0.4235247808,0.015169630826666667,13.652667744,0.025966644287109375,5,19
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,6,0.315054285184,0.315054285184,0.017620053044764446,15.858047740288,0.030067920684814453,6,25
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,7,0.20875319948032003,0.20875319948032003,0.01947563704014507,17.52807333613056,0.03413987159729004,7,32
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,8,0.10457813549071363,0.10457813549071363,0.020172824610083157,18.15554214907484,0.038295745849609375,6,38
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,9,0.0024865727808993515,0.0024865727808993515,0.02019769033789215,18.177921304102934,0.04251289367675781,8,46
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,10,0.0,0.0,0.02019769033789215,18.177921304102934,0.046833038330078125,0,46
