episode,V_average,V_sum,time,epsilon,decay
1,2.488426791898112,7.465280375694336,0.003949165344238281,0.699009999999999,linear - epsilon: 0.7
2,4.020420572576203,12.061261717728609,0.007619142532348633,0.698009999999998,linear - epsilon: 0.7
3,4.908952246427963,14.726856739283889,0.012075185775756836,0.697009999999997,linear - epsilon: 0.7
4,8.25688846694667,24.77066540084001,0.015894174575805664,0.696009999999996,linear - epsilon: 0.7
5,11.117898601994654,33.35369580598396,0.019724369049072266,0.695009999999995,linear - epsilon: 0.7
6,13.770940241987276,41.31282072596183,0.023446321487426758,0.694009999999994,linear - epsilon: 0.7
7,16.10433654987031,48.31300964961093,0.027857065200805664,0.693009999999993,linear - epsilon: 0.7
8,18.315629746291005,54.94688923887301,0.03142118453979492,0.692009999999992,linear - epsilon: 0.7
9,19.96199949271823,59.88599847815469,0.03607320785522461,0.691009999999991,linear - epsilon: 0.7
10,21.20379765100634,63.61139295301902,0.03985309600830078,0.69000999999999,linear - epsilon: 0.7
11,22.508019595353574,67.52405878606072,0.04351091384887695,0.689009999999989,linear - epsilon: 0.7
12,23.602109368254858,70.80632810476457,0.048027992248535156,0.688009999999988,linear - epsilon: 0.7
13,24.543211486668678,73.62963446000603,0.05411529541015625,0.687009999999987,linear - epsilon: 0.7
14,25.76325842705602,77.28977528116806,0.05921125411987305,0.686009999999986,linear - epsilon: 0.7
15,27.032697010217248,81.09809103065174,0.0632481575012207,0.685009999999985,linear - epsilon: 0.7
16,28.13379334253386,84.40138002760158,0.0678701400756836,0.684009999999984,linear - epsilon: 0.7
17,29.382764376611167,88.1482931298335,0.0712730884552002,0.683009999999983,linear - epsilon: 0.7
18,30.35266676039843,91.05800028119529,0.07571625709533691,0.682009999999982,linear - epsilon: 0.7
19,31.497408276879924,94.49222483063977,0.07922101020812988,0.681009999999981,linear - epsilon: 0.7
20,32.51685980036384,97.55057940109153,0.08336091041564941,0.68000999999998,linear - epsilon: 0.7
21,33.36520478641418,100.09561435924255,0.0868377685546875,0.679009999999979,linear - epsilon: 0.7
22,34.23348146093289,102.70044438279868,0.09148049354553223,0.678009999999978,linear - epsilon: 0.7
23,35.37306556907675,106.11919670723024,0.09510636329650879,0.677009999999977,linear - epsilon: 0.7
24,36.08220563862732,108.24661691588197,0.10040545463562012,0.676009999999976,linear - epsilon: 0.7
25,36.68199820654856,110.04599461964568,0.1046745777130127,0.675009999999975,linear - epsilon: 0.7
26,37.47377382648986,112.42132147946958,0.1094658374786377,0.674009999999974,linear - epsilon: 0.7
27,38.09311090506185,114.27933271518555,0.11456179618835449,0.673009999999973,linear - epsilon: 0.7
28,38.8352512388137,116.50575371644109,0.1180717945098877,0.672009999999972,linear - epsilon: 0.7
