episode,V_average,V_sum,time,epsilon,decay
1,3.1431824088419007,9.429547226525703,0.005636930465698242,0.7166790653355317,non-linear - epsilon: 0.7
2,7.089367749117671,21.268103247353014,0.011933088302612305,0.6885616643463903,non-linear - epsilon: 0.7
3,10.327703247266145,30.983109741798437,0.017941951751708984,0.6752200244275466,non-linear - epsilon: 0.7
4,14.072730693592957,42.21819208077887,0.02244400978088379,0.666834573783595,non-linear - epsilon: 0.7
5,16.979738354869202,50.93921506460761,0.026911020278930664,0.6608594760130434,non-linear - epsilon: 0.7
6,19.526507271524583,58.57952181457375,0.03195476531982422,0.6562843108887373,non-linear - epsilon: 0.7
7,21.932401160884478,65.79720348265343,0.036447763442993164,0.6526133225995339,non-linear - epsilon: 0.7
8,24.203718201595034,72.6111546047851,0.04037761688232422,0.6495693685401105,non-linear - epsilon: 0.7
9,25.74541697610532,77.23625092831597,0.04474163055419922,0.6469830568414279,non-linear - epsilon: 0.7
10,27.38557542360843,82.15672627082529,0.04918241500854492,0.6447438839476537,non-linear - epsilon: 0.7
11,28.941758447398666,86.825275342196,0.05483436584472656,0.6427760840458961,non-linear - epsilon: 0.7
12,30.240654649736285,90.72196394920886,0.06037616729736328,0.6410256264839466,non-linear - epsilon: 0.7
13,31.19122948425729,93.57368845277186,0.06591105461120605,0.6394527335066624,non-linear - epsilon: 0.7
14,32.51190936313171,97.53572808939512,0.0710608959197998,0.638027338606423,non-linear - epsilon: 0.7
15,33.78066026255339,101.34198078766016,0.0752859115600586,0.6367262063277869,non-linear - epsilon: 0.7
16,34.7310850490389,104.1932551471167,0.07953786849975586,0.6355310375412628,non-linear - epsilon: 0.7
17,36.26449824105222,108.79349472315667,0.08464694023132324,0.6344271835937918,non-linear - epsilon: 0.7
18,37.353714254181284,112.06114276254385,0.08901500701904297,0.6334027499847692,non-linear - epsilon: 0.7
19,38.28404174298862,114.85212522896586,0.09324002265930176,0.6324479568429051,non-linear - epsilon: 0.7
20,39.190985612277785,117.57295683683336,0.09784317016601562,0.6315546732015944,non-linear - epsilon: 0.7
