algname,gamma,threshold,num_states,Iteration,V_average,V_sum,delta,variation,V_max_diff,# chg actions,clock_time
vi-forest,0.9,0.00011111111111111109,10,1,1.2,12.0,12.0,4.0,4.0,0,5.507469177246094e-05
vi-forest,0.9,0.00011111111111111109,10,2,1.829,18.29,6.289999999999999,3.24,3.24,1,0.00010013580322265625
vi-forest,0.9,0.00011111111111111109,10,3,2.98288,29.8288,11.538800000000002,2.6244,2.6973000000000003,2,0.0001430511474609375
vi-forest,0.9,0.00011111111111111109,10,4,3.786329700000001,37.86329700000001,8.034497000000009,2.1257640000000015,2.1913740000000015,3,0.0001838207244873047
vi-forest,0.9,0.00011111111111111109,10,5,4.797189531000001,47.97189531000001,10.108598309999998,1.721868840000001,1.8287475300000011,3,0.00022482872009277344
vi-forest,0.9,0.00011111111111111109,10,6,5.58913523921,55.8913523921,7.919457082099996,1.3947137604000015,1.4909045814000015,4,0.00026488304138183594
vi-forest,0.9,0.00011111111111111109,10,7,6.400462441257702,64.00462441257702,8.113272020477012,1.1297181459240022,1.2476709444330023,5,0.0003058910369873047
vi-forest,0.9,0.00011111111111111109,10,8,7.078539771289826,70.78539771289826,6.780773300321243,0.9150716981984424,1.0212292168565424,5,0.0003459453582763672
vi-forest,0.9,0.00011111111111111109,10,9,7.718156017711277,77.18156017711277,6.3961624642145125,0.7412080755407384,0.8573389555424935,6,0.00038695335388183594
vi-forest,0.9,0.00011111111111111109,10,10,8.257948252074154,82.57948252074155,5.397922343628778,0.6003785411879994,0.7048963331895788,6,0.00042700767517089844
vi-forest,0.9,0.00011111111111111109,10,11,8.736961697157284,87.36961697157284,4.790134450831289,0.4863066183622795,0.5938811483404312,7,0.0004677772521972656
vi-forest,0.9,0.00011111111111111109,10,12,9.158753171858212,91.58753171858211,4.217914747009274,0.39390836087344683,0.4907254378537833,7,0.0005085468292236328
vi-forest,0.9,0.00011111111111111109,10,13,9.517980741413847,95.17980741413847,3.592275695556353,0.3190657723074932,0.41506407970944803,7,0.0005486011505126953
vi-forest,0.9,0.00011111111111111109,10,14,9.821961798500826,98.21961798500826,3.03981057086979,0.21477449476168342,0.34484175223082936,8,0.0005896091461181641
vi-forest,0.9,0.00011111111111111109,10,15,10.09747772033196,100.9747772033196,2.7551592183113485,0.17396734075696374,0.292912655906834,8,0.0006296634674072266
vi-forest,0.9,0.00011111111111111109,10,16,10.345442049979983,103.45442049979982,2.4796432964802193,4.440892098500626e-15,0.24796432964802406,8,0.0006709098815917969
