algname,gamma,num_states,Iteration,# chg action at iter,V_average,V_sum,delta,variation,V_max_diff,# chg actions,clock_time
pi-forest,0.9,10,1,1,6.7868566443733656,67.86856644373366,67.86856644373366,18.697295725501604,23.172433847048566,1,0.0003199577331542969
pi-forest,0.9,10,2,1,8.201337598138995,82.01337598138996,14.1448095376563,14.1448095376563,14.1448095376563,2,0.0006070137023925781
pi-forest,0.9,10,3,1,9.291818551904624,92.91818551904625,10.904809537656291,10.904809537656298,10.9048095376563,3,0.0008761882781982422
pi-forest,0.9,10,4,1,10.119859505670256,101.19859505670256,8.280409537656311,8.280409537656302,8.2804095376563,4,0.001142263412475586
pi-forest,0.9,10,5,1,10.735324059435886,107.35324059435885,6.154645537656293,6.154645537656302,6.1546455376563,5,0.0014073848724365234
pi-forest,0.9,10,6,1,11.178601729201516,111.78601729201516,4.432776697656308,4.432776697656301,4.4327766976562994,6,0.0016734600067138672
pi-forest,0.9,10,7,1,11.482408022927146,114.82408022927146,3.0380629372562993,3.038062937256301,3.0380629372562993,7,0.0021004676818847656
pi-forest,0.9,10,8,1,11.673242502060376,116.73242502060376,1.908344791332297,1.9083447913323006,1.9083447913322988,8,0.002487659454345703
pi-forest,0.9,10,9,0,12.577121016812187,125.77121016812187,9.038785147518112,0.99327309313386,1.7173691780284424,8,0.0028607845306396484
