algname,gamma,threshold,num_states,Iteration,variation,V_max_diff,# chg actions,clock_time
vi-forest,0.75,3.3333333333333335e-05,5000,1,4.0,4.0,0,0.026716947555541992
vi-forest,0.75,3.3333333333333335e-05,5000,2,2.7,2.7,1,0.05683422088623047
vi-forest,0.75,3.3333333333333335e-05,5000,3,1.822500000000001,1.8731250000000008,2,0.08315730094909668
vi-forest,0.75,3.3333333333333335e-05,5000,4,1.2301875000000007,1.2681562500000005,2,0.10981225967407227
vi-forest,0.75,3.3333333333333335e-05,5000,5,0.8303765625000015,0.8819191406250013,3,0.1325531005859375
vi-forest,0.75,3.3333333333333335e-05,5000,6,0.5605041796875017,0.5991611132812515,3,0.1514148712158203
vi-forest,0.75,3.3333333333333335e-05,5000,7,0.3783403212890635,0.4178424748535168,4,0.17008590698242188
vi-forest,0.75,3.3333333333333335e-05,5000,8,0.2553797168701184,0.2850063320434586,4,0.18803071975708008
vi-forest,0.75,3.3333333333333335e-05,5000,9,0.17238130888732983,0.19938963995864967,4,0.20673251152038574
vi-forest,0.75,3.3333333333333335e-05,5000,10,0.11635738349894753,0.13661363180243757,4,0.23346447944641113
vi-forest,0.75,3.3333333333333335e-05,5000,11,0.07854123386178946,0.09591512103001243,4,0.2539675235748291
vi-forest,0.75,3.3333333333333335e-05,5000,12,0.053015332856708675,0.06604574823287557,4,0.2719075679779053
vi-forest,0.75,3.3333333333333335e-05,5000,13,0.03578534967827851,0.046552198701466985,4,0.29100561141967773
vi-forest,0.75,3.3333333333333335e-05,5000,14,0.024155111032837517,0.032230247800228984,4,0.3105626106262207
vi-forest,0.75,3.3333333333333335e-05,5000,15,0.016304699947165657,0.022813960854574766,4,0.32813167572021484
vi-forest,0.75,3.3333333333333335e-05,5000,16,0.011005672464337035,0.0158876181448937,4,0.34661173820495605
vi-forest,0.75,3.3333333333333335e-05,5000,17,0.007428828913427665,0.011296644532551525,4,0.3646843433380127
vi-forest,0.75,3.3333333333333335e-05,5000,18,0.005014459516564429,0.007915321230907324,4,0.38381457328796387
vi-forest,0.75,3.3333333333333335e-05,5000,19,0.003384760173680501,0.0056544275753731554,4,0.40565943717956543
vi-forest,0.75,3.3333333333333335e-05,5000,20,0.0022847131172349933,0.003986963668504373,4,0.4311065673828125
vi-forest,0.75,3.3333333333333335e-05,5000,21,0.0015421813541343088,0.0028617076385346607,4,0.46391844749450684
vi-forest,0.75,3.3333333333333335e-05,5000,22,0.001040972414040553,0.0020306171273407614,4,0.4935264587402344
vi-forest,0.75,3.3333333333333335e-05,5000,23,0.0007026563794787499,0.0014644081472168224,4,0.5231285095214844
vi-forest,0.75,3.3333333333333335e-05,5000,24,0.0004742930561487668,0.0010456068819522102,4,0.5475525856018066
vi-forest,0.75,3.3333333333333335e-05,5000,25,0.00032014781290023997,0.0007575261770558228,4,0.5672123432159424
vi-forest,0.75,3.3333333333333335e-05,5000,26,0.0002160997737079562,0.0005441335468248099,4,0.589531421661377
vi-forest,0.75,3.3333333333333335e-05,5000,27,0.0001458673472531924,0.00039594454784763755,4,0.612964391708374
vi-forest,0.75,3.3333333333333335e-05,5000,28,9.846045939543302e-05,0.00028601835984165547,4,0.6368610858917236
vi-forest,0.75,3.3333333333333335e-05,5000,29,6.646081009109572e-05,0.0002089753690395213,4,0.6635348796844482
vi-forest,0.75,3.3333333333333335e-05,5000,30,4.4861046812894045e-05,0.00015174696602393567,4,0.6950647830963135
vi-forest,0.75,3.3333333333333335e-05,5000,31,3.0281206599314103e-05,0.00011128679063521218,4,0.7229208946228027
