,Iteration,Fitness,Time,State,current_restart,Restarts
0,0,535.0,0.00016547199999994433,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,1
1,1,535.0,0.0007141160000001534,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,1
2,2,539.0,0.0012255209999998407,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,1
3,4,553.0,0.0018486929999999013,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,1
4,8,592.0,0.0029117869999999435,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 4 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 3 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,1
5,16,592.0,0.004327307000000058,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 4 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 3 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,1
6,32,654.0,0.006929292000000142,"[4 2 3 3 3 3 3 2 4 0 0 4 2 2 0 1 1 0 4 4 3 1 3 4 2 3 0 1 3 3 3 1 1 1 1 3 3
 4 3 3 3 4 2 0 0 4 0 4 4 4]",0,1
7,64,807.0,0.011641157000000124,"[4 2 4 3 4 3 3 2 4 0 3 4 2 2 1 1 1 0 4 4 3 2 3 4 2 3 3 3 3 3 3 1 1 1 3 3 3
 4 3 3 3 4 4 3 0 4 4 4 4 4]",0,1
8,128,930.0,0.02111711000000005,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 3 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 3 3 4 4 3 1 4 4 4 4 4]",0,1
9,256,944.0,0.041180262000000134,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,1
10,512,944.0,0.0867917789999999,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,1
11,1024,944.0,0.24064435500000014,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,1
12,2048,944.0,0.6507627010000001,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,1
13,4096,944.0,2.080232167,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,1
14,8192,944.0,3.223383924,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,1
15,0,535.0,0.0003437869999993737,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,5
16,1,535.0,0.0008906169999995939,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,5
17,2,539.0,0.0014031829999998635,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,5
18,4,553.0,0.0020780279999996765,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,5
19,8,592.0,0.0029603579999992746,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 4 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 3 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,5
20,16,592.0,0.00427424499999951,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 4 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 3 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,5
21,32,654.0,0.007154025999999369,"[4 2 3 3 3 3 3 2 4 0 0 4 2 2 0 1 1 0 4 4 3 1 3 4 2 3 0 1 3 3 3 1 1 1 1 3 3
 4 3 3 3 4 2 0 0 4 0 4 4 4]",0,5
22,64,807.0,0.0134263059999995,"[4 2 4 3 4 3 3 2 4 0 3 4 2 2 1 1 1 0 4 4 3 2 3 4 2 3 3 3 3 3 3 1 1 1 3 3 3
 4 3 3 3 4 4 3 0 4 4 4 4 4]",0,5
23,128,930.0,0.02411209299999939,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 3 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 3 3 4 4 3 1 4 4 4 4 4]",0,5
24,256,944.0,0.04520849999999932,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5
25,512,944.0,0.09392777299999988,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5
26,1024,944.0,0.25093983399999953,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5
27,2048,944.0,0.6134246569999995,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5
28,4096,944.0,1.7571769359999996,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5
29,8192,944.0,2.6917367169999995,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5
30,0,535.0,0.00018768300000004956,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10
31,1,535.0,0.0006938250000008139,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10
32,2,539.0,0.0011833040000013284,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10
33,4,553.0,0.001797122000001039,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10
34,8,592.0,0.0027999930000000006,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 4 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 3 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10
35,16,592.0,0.004070760000001172,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 4 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 3 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10
36,32,654.0,0.0068653489999999096,"[4 2 3 3 3 3 3 2 4 0 0 4 2 2 0 1 1 0 4 4 3 1 3 4 2 3 0 1 3 3 3 1 1 1 1 3 3
 4 3 3 3 4 2 0 0 4 0 4 4 4]",0,10
37,64,807.0,0.011686197000001286,"[4 2 4 3 4 3 3 2 4 0 3 4 2 2 1 1 1 0 4 4 3 2 3 4 2 3 3 3 3 3 3 1 1 1 3 3 3
 4 3 3 3 4 4 3 0 4 4 4 4 4]",0,10
38,128,930.0,0.02108609300000097,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 3 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 3 3 4 4 3 1 4 4 4 4 4]",0,10
39,256,944.0,0.0410557890000014,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,10
40,512,944.0,0.08502155400000078,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,10
41,1024,944.0,0.21237920600000137,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,10
