,Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent
61,1,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
62,2,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
63,4,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
64,8,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
65,16,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
66,32,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
67,64,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
68,128,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
69,256,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
70,512,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
71,1024,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
72,2048,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
73,4096,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
74,8192,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
