,Iteration,Time,Fitness,current_restart,Restarts
0,0,0.00010320999999979819,535.0,0,1
1,1,0.0004346089999998082,535.0,0,1
2,2,0.0008435639999999633,539.0,0,1
3,3,0.001047740499999894,553.0,0,1
4,4,0.0012519169999998248,553.0,0,1
5,5,0.0013879917499998173,577.0,0,1
6,6,0.00152406649999981,577.0,0,1
7,7,0.0016601412499998025,592.0,0,1
8,8,0.001796215999999795,592.0,0,1
9,9,0.001886042249999803,592.0,0,1
10,10,0.001975868499999811,592.0,0,1
11,11,0.002065694749999819,592.0,0,1
12,12,0.002155520999999827,592.0,0,1
13,13,0.002245347249999835,592.0,0,1
14,14,0.002335173499999843,592.0,0,1
15,15,0.002424999749999851,592.0,0,1
16,16,0.002514825999999859,592.0,0,1
17,17,0.002641015124999868,596.0,0,1
18,18,0.0027672042499998772,596.0,0,1
19,19,0.0028933933749998864,596.0,0,1
20,20,0.0030195824999998955,604.0,0,1
21,21,0.0031457716249999046,606.0,0,1
22,22,0.0032719607499999137,609.0,0,1
23,23,0.003398149874999923,609.0,0,1
24,24,0.003524338999999932,609.0,0,1
25,25,0.003650528124999941,609.0,0,1
26,26,0.00377671724999995,623.0,0,1
27,27,0.0039029063749999593,623.0,0,1
28,28,0.004029095499999968,633.0,0,1
29,29,0.0041552846249999775,640.0,0,1
30,30,0.004281473749999987,640.0,0,1
31,31,0.004407662874999996,640.0,0,1
32,32,0.004533852000000005,654.0,0,1
33,33,0.004695556593750004,657.0,0,1
34,34,0.004857261187500003,657.0,0,1
35,35,0.005018965781250002,687.0,0,1
36,36,0.005180670375000002,687.0,0,1
37,37,0.005342374968750001,687.0,0,1
38,38,0.0055040795625,707.0,0,1
39,39,0.005665784156249999,707.0,0,1
40,40,0.005827488749999998,707.0,0,1
41,41,0.0059891933437499975,723.0,0,1
42,42,0.006150897937499997,723.0,0,1
43,43,0.006312602531249996,725.0,0,1
44,44,0.006474307124999995,725.0,0,1
45,45,0.006636011718749994,725.0,0,1
46,46,0.006797716312499993,749.0,0,1
47,47,0.006959420906249993,749.0,0,1
48,48,0.007121125499999992,749.0,0,1
49,49,0.007282830093749991,749.0,0,1
50,50,0.00744453468749999,749.0,0,1
51,51,0.007606239281249989,749.0,0,1
52,52,0.0077679438749999885,763.0,0,1
53,53,0.007929648468749988,763.0,0,1
54,54,0.008091353062499987,763.0,0,1
55,55,0.008253057656249986,766.0,0,1
56,56,0.008414762249999985,766.0,0,1
57,57,0.008576466843749984,766.0,0,1
58,58,0.008738171437499984,766.0,0,1
59,59,0.008899876031249983,766.0,0,1
60,60,0.009061580624999982,766.0,0,1
61,61,0.009223285218749981,796.0,0,1
62,62,0.00938498981249998,796.0,0,1
63,63,0.00954669440624998,802.0,0,1
64,64,0.009708398999999979,807.0,0,1
65,65,0.009816441515624979,807.0,0,1
66,66,0.009924484031249979,807.0,0,1
67,67,0.01003252654687498,807.0,0,1
68,68,0.01014056906249998,807.0,0,1
69,69,0.01024861157812498,807.0,0,1
70,70,0.01035665409374998,807.0,0,1
71,71,0.01046469660937498,807.0,0,1
72,72,0.01057273912499998,807.0,0,1
73,73,0.01068078164062498,807.0,0,1
74,74,0.01078882415624998,817.0,0,1
75,75,0.01089686667187498,817.0,0,1
76,76,0.011004909187499981,821.0,0,1
77,77,0.011112951703124981,821.0,0,1
78,78,0.011220994218749981,829.0,0,1
79,79,0.011329036734374982,829.0,0,1
80,80,0.011437079249999982,829.0,0,1
81,81,0.011545121765624982,853.0,0,1
82,82,0.011653164281249982,857.0,0,1
83,83,0.011761206796874982,857.0,0,1
84,84,0.011869249312499983,871.0,0,1
85,85,0.011977291828124983,879.0,0,1
86,86,0.012085334343749983,879.0,0,1
87,87,0.012193376859374983,879.0,0,1
88,88,0.012301419374999983,879.0,0,1
89,89,0.012409461890624984,887.0,0,1
90,90,0.012517504406249984,887.0,0,1
91,91,0.012625546921874984,894.0,0,1
92,92,0.012733589437499984,894.0,0,1
93,93,0.012841631953124984,894.0,0,1
94,94,0.012949674468749985,894.0,0,1
95,95,0.013057716984374985,894.0,0,1
96,96,0.013165759499999985,903.0,0,1
