,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,0.0,0.00010964000000002194,"[4, 0, 3, 3, 3]",1,8192,0
1,1,0.0,0.0004338259999998595,"[4, 0, 3, 3, 3]",1,8192,0
2,2,25.0,0.00818417699999996,"[4, 0, 0, 3, 3]",1,8192,0
3,4,25.0,0.014620886999999971,"[4, 0, 0, 3, 3]",1,8192,0
4,8,25.0,0.02024735199999994,"[4, 0, 0, 3, 3]",1,8192,0
5,16,25.0,0.02593145599999991,"[4, 0, 0, 3, 3]",1,8192,0
6,32,32.0,0.034539271999999954,"[4, 0, 1, 3, 3]",1,8192,0
7,64,32.0,0.043146716999999946,"[4, 0, 1, 3, 3]",1,8192,0
8,128,32.0,0.05490181399999994,"[4, 0, 1, 3, 3]",1,8192,0
9,256,32.0,0.07734609000000003,"[4, 0, 1, 3, 3]",1,8192,0
10,512,32.0,0.12057865499999987,"[4, 0, 1, 3, 3]",1,8192,0
11,1024,32.0,0.20387584800000003,"[4, 0, 1, 3, 3]",1,8192,0
12,2048,32.0,0.3893270790000001,"[4, 0, 1, 3, 3]",1,8192,0
13,4096,32.0,1.018585275,"[4, 0, 1, 3, 3]",1,8192,0
14,8192,32.0,1.5520533840000001,"[4, 0, 1, 3, 3]",1,8192,0
15,0,50.0,1.621814702,"[3, 1, 3, 3, 1]",1,8192,1
16,1,52.0,1.62256766,"[3, 1, 3, 3, 3]",1,8192,1
17,2,52.0,1.6998928420000001,"[3, 1, 3, 3, 3]",1,8192,1
18,4,52.0,1.7818750890000001,"[3, 1, 3, 3, 3]",1,8192,1
19,8,52.0,1.8652392729999998,"[3, 1, 3, 3, 3]",1,8192,1
20,16,69.0,1.9459148160000002,"[3, 2, 4, 3, 3]",1,8192,1
21,32,69.0,2.022635579,"[3, 2, 4, 3, 3]",1,8192,1
22,64,69.0,2.114661993,"[3, 2, 4, 3, 3]",1,8192,1
23,128,69.0,2.241429021,"[3, 2, 4, 3, 3]",1,8192,1
24,256,69.0,2.4072412549999997,"[3, 2, 4, 3, 3]",1,8192,1
25,512,69.0,2.6252681969999996,"[3, 2, 4, 3, 3]",1,8192,1
26,1024,69.0,3.041523496,"[3, 2, 4, 3, 3]",1,8192,1
27,2048,69.0,3.7555556359999995,"[3, 2, 4, 3, 3]",1,8192,1
28,4096,69.0,5.158818933,"[3, 2, 4, 3, 3]",1,8192,1
29,8192,69.0,5.916190628,"[3, 2, 4, 3, 3]",1,8192,1
