,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.00011433699999940927,44.0,1,8192,0
1,1,0.00041506400000024257,44.0,1,8192,0
2,2,0.005746464999999645,44.0,1,8192,0
3,3,0.010585755999999336,44.0,1,8192,0
4,4,0.01067138900000053,44.0,1,8192,0
5,5,0.015927802000000213,44.0,1,8192,0
6,6,0.016036616999999254,44.0,1,8192,0
7,7,0.01619641299999941,44.0,1,8192,0
8,8,0.016335927000000083,44.0,1,8192,0
9,9,0.021331756000000368,44.0,1,8192,0
10,10,0.02141788099999964,44.0,1,8192,0
11,11,0.021491508000000437,44.0,1,8192,0
12,12,0.021561339999999873,44.0,1,8192,0
13,13,0.021628248999999045,44.0,1,8192,0
14,14,0.02169496800000026,44.0,1,8192,0
15,15,0.02176136199999945,44.0,1,8192,0
16,16,0.021828356000000326,44.0,1,8192,0
17,17,0.027565724000000458,44.0,1,8192,0
18,18,0.02765352299999968,44.0,1,8192,0
19,19,0.027728675000000536,44.0,1,8192,0
20,20,0.027796032999999554,44.0,1,8192,0
21,21,0.027860185999999842,44.0,1,8192,0
22,22,0.02792710099999951,44.0,1,8192,0
23,23,0.027990957000000094,44.0,1,8192,0
24,24,0.02805790899999927,44.0,1,8192,0
25,25,0.028122235999999745,44.0,1,8192,0
26,26,0.028187035000000193,44.0,1,8192,0
27,27,0.028254277000000272,44.0,1,8192,0
28,28,0.028321669000000327,44.0,1,8192,0
29,29,0.02838794899999897,44.0,1,8192,0
30,30,0.028454202999999012,44.0,1,8192,0
31,31,0.028520463999999635,44.0,1,8192,0
32,32,0.0285867599999996,44.0,1,8192,0
33,33,0.03376116299999943,44.0,1,8192,0
34,34,0.03397246399999965,44.0,1,8192,0
35,35,0.034074169000000154,44.0,1,8192,0
36,36,0.0341587600000004,44.0,1,8192,0
37,37,0.03423465699999895,44.0,1,8192,0
38,38,0.03430286699999918,44.0,1,8192,0
39,39,0.034369038999999546,44.0,1,8192,0
40,40,0.03443379800000024,44.0,1,8192,0
41,41,0.03454309199999983,44.0,1,8192,0
42,42,0.03461352899999959,44.0,1,8192,0
43,43,0.0346819019999991,44.0,1,8192,0
44,44,0.034746834999999976,44.0,1,8192,0
45,45,0.03481430899999971,44.0,1,8192,0
46,46,0.0348821190000006,44.0,1,8192,0
47,47,0.034949999000000176,44.0,1,8192,0
48,48,0.03501747199999983,44.0,1,8192,0
49,49,0.03508437300000011,44.0,1,8192,0
50,50,0.035151101000000295,44.0,1,8192,0
51,51,0.03521828000000049,44.0,1,8192,0
52,52,0.0352829339999996,44.0,1,8192,0
53,53,0.035346934999999746,44.0,1,8192,0
54,54,0.0354112139999998,44.0,1,8192,0
55,55,0.035477545999999194,44.0,1,8192,0
56,56,0.03554435799999922,44.0,1,8192,0
57,57,0.03561238800000055,44.0,1,8192,0
58,58,0.03567972899999994,44.0,1,8192,0
59,59,0.035748802000000524,44.0,1,8192,0
60,60,0.035814127000000084,44.0,1,8192,0
61,61,0.035881894999999275,44.0,1,8192,0
62,62,0.03594803300000038,44.0,1,8192,0
63,63,0.03602524399999929,44.0,1,8192,0
64,64,0.036101631999999384,44.0,1,8192,0
65,65,0.042541947000000135,44.0,1,8192,0
66,66,0.04263663000000051,44.0,1,8192,0
67,67,0.04271535800000059,44.0,1,8192,0
68,68,0.0427895730000003,44.0,1,8192,0
69,69,0.04285782600000054,44.0,1,8192,0
70,70,0.04292789099999972,44.0,1,8192,0
71,71,0.04299729199999902,44.0,1,8192,0
72,72,0.04306299399999958,44.0,1,8192,0
73,73,0.04313510599999937,44.0,1,8192,0
74,74,0.04320554799999954,44.0,1,8192,0
75,75,0.043273946999999424,44.0,1,8192,0
76,76,0.04334686800000043,44.0,1,8192,0
77,77,0.043412830999999485,44.0,1,8192,0
78,78,0.04347821200000013,44.0,1,8192,0
79,79,0.043547270999999554,44.0,1,8192,0
80,80,0.04361769399999993,44.0,1,8192,0
81,81,0.043686874000000486,44.0,1,8192,0
82,82,0.043752970999999974,44.0,1,8192,0
83,83,0.04382236999999911,44.0,1,8192,0
84,84,0.04388886299999939,44.0,1,8192,0
85,85,0.04395765299999965,44.0,1,8192,0
86,86,0.04402325899999937,44.0,1,8192,0
87,87,0.044092232000000564,44.0,1,8192,0
88,88,0.044160892999999035,44.0,1,8192,0
89,89,0.0442426729999994,44.0,1,8192,0
90,90,0.04430993999999977,44.0,1,8192,0
91,91,0.04437631999999958,44.0,1,8192,0
92,92,0.04444610500000046,44.0,1,8192,0
93,93,0.0445136779999995,44.0,1,8192,0
94,94,0.04458388699999993,44.0,1,8192,0
95,95,0.04465362400000039,44.0,1,8192,0
96,96,0.044720787999999345,44.0,1,8192,0
97,97,0.04478963100000044,44.0,1,8192,0
98,98,0.04490529799999976,44.0,1,8192,0
99,99,0.04503736599999897,44.0,1,8192,0
100,100,0.045168669000000605,44.0,1,8192,0
101,101,0.04532245299999893,44.0,1,8192,0
102,102,0.04545525400000017,44.0,1,8192,0
103,103,0.04557703899999943,44.0,1,8192,0
104,104,0.04570984799999955,44.0,1,8192,0
105,105,0.04585936700000026,44.0,1,8192,0
106,106,0.04603050199999892,44.0,1,8192,0
107,107,0.04620300200000038,44.0,1,8192,0
108,108,0.046369355999999584,44.0,1,8192,0
109,109,0.04653836499999997,44.0,1,8192,0
110,110,0.04670052999999896,44.0,1,8192,0
111,111,0.0468585879999992,44.0,1,8192,0
112,112,0.04701702999999924,44.0,1,8192,0
113,113,0.04717803499999995,44.0,1,8192,0
114,114,0.047321612999999374,44.0,1,8192,0
115,115,0.0474496939999991,44.0,1,8192,0
116,116,0.04758338199999912,44.0,1,8192,0
117,117,0.04770677199999973,44.0,1,8192,0
118,118,0.04781937399999947,44.0,1,8192,0
119,119,0.04795708600000026,44.0,1,8192,0
120,120,0.04809385499999941,44.0,1,8192,0
121,121,0.048232260999999,44.0,1,8192,0
122,122,0.04836370599999995,44.0,1,8192,0
123,123,0.04849398400000027,44.0,1,8192,0
124,124,0.048622807999999296,44.0,1,8192,0
125,125,0.0487591510000005,44.0,1,8192,0
126,126,0.04889610799999922,44.0,1,8192,0
127,127,0.049037612999999425,44.0,1,8192,0
128,128,0.049182018999999855,44.0,1,8192,0
129,129,0.05647071199999942,44.0,1,8192,0
130,130,0.056594302000000596,44.0,1,8192,0
131,131,0.05667974800000053,44.0,1,8192,0
132,132,0.056755081000000374,44.0,1,8192,0
