,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,28.0,0.00011433699999940927,"[0, 0, 3, 2, 3]",1,8192,0
1,1,44.0,0.00041506400000024257,"[4, 0, 3, 2, 3]",1,8192,0
2,2,44.0,0.005746464999999645,"[4, 0, 3, 2, 3]",1,8192,0
3,4,44.0,0.01067138900000053,"[4, 0, 3, 2, 3]",1,8192,0
4,8,44.0,0.016335927000000083,"[4, 0, 3, 2, 3]",1,8192,0
5,16,44.0,0.021828356000000326,"[4, 0, 3, 2, 3]",1,8192,0
6,32,44.0,0.0285867599999996,"[4, 0, 3, 2, 3]",1,8192,0
7,64,44.0,0.036101631999999384,"[4, 0, 3, 2, 3]",1,8192,0
8,128,44.0,0.049182018999999855,"[4, 0, 3, 2, 3]",1,8192,0
9,256,44.0,0.06793155499999948,"[4, 0, 3, 2, 3]",1,8192,0
10,512,44.0,0.10553351899999974,"[4, 0, 3, 2, 3]",1,8192,0
11,1024,44.0,0.21055362899999963,"[4, 0, 3, 2, 3]",1,8192,0
12,2048,44.0,0.42447780500000043,"[4, 0, 3, 2, 3]",1,8192,0
13,4096,44.0,1.0719415750000003,"[4, 0, 3, 2, 3]",1,8192,0
14,8192,44.0,1.5016772669999998,"[4, 0, 3, 2, 3]",1,8192,0
15,0,41.0,1.5599166269999998,"[0, 3, 1, 2, 0]",1,8192,1
16,1,42.0,1.5607759019999996,"[0, 3, 1, 2, 1]",1,8192,1
17,2,42.0,1.6129020579999995,"[0, 3, 1, 2, 1]",1,8192,1
18,4,45.0,1.6851932830000003,"[0, 3, 1, 2, 4]",1,8192,1
19,8,45.0,1.746801485999999,"[0, 3, 1, 2, 4]",1,8192,1
20,16,66.0,1.8077177649999996,"[0, 4, 2, 4, 4]",1,8192,1
21,32,77.0,1.8848262519999999,"[1, 4, 3, 4, 4]",1,8192,1
22,64,77.0,1.9560210619999996,"[1, 4, 3, 4, 4]",1,8192,1
23,128,77.0,2.0394709560000006,"[1, 4, 3, 4, 4]",1,8192,1
24,256,77.0,2.1726429940000003,"[1, 4, 3, 4, 4]",1,8192,1
25,512,77.0,2.382237438999999,"[1, 4, 3, 4, 4]",1,8192,1
26,1024,77.0,2.7132907680000002,"[1, 4, 3, 4, 4]",1,8192,1
27,2048,77.0,3.4124039889999995,"[1, 4, 3, 4, 4]",1,8192,1
28,4096,77.0,4.998774200999998,"[1, 4, 3, 4, 4]",1,8192,1
29,8192,77.0,5.819184508000001,"[1, 4, 3, 4, 4]",1,8192,1
