,Iteration,Fitness,Time,State,current_restart,Restarts
10,512,2967.3496784773392,0.1320214830000026,"[45 48 47 38  5  3 46  9  8 31 19 12 39 41 21  1  7 43 22 25 13 10 28 23
 35 36 37 14  6 29 18 32 34 24 16  4 44  2 30 17 26  0 11 40 27 20 49 33
 15 42]",0,1
11,1024,2470.891538324227,0.29585501699999384,"[45 15  3 38  5 11 46  9 47 19 31 12 39 41 21  7 23 28  1 48 42 10 30  2
 24 36 22 44 35 29 18 32 34  6 16  4 14 43 17 37 26 33  8  0 27 20 49 40
 25 13]",0,1
12,2048,2179.1572363630635,0.6777301799999975,"[47 15  3 38  5 11 46 25  9 19 31 27 39 21 14 28 17 33 13 45 42 10 37 30
 24 36 22 44  4 29 18 32 34 16  6 35 43 41 23  2  7 26  8  0 49 20 12 40
  1 48]",0,1
13,4096,1957.9648232316686,1.6431957169999976,"[47 15  3 38  5 11 40 25  9 19 31  1  8 21 14  0 26 33 13 45 42 10 37 30
 43 41 22 44  4 29 16 18 32 34  6 35 36 24 23  2 28 17  7 39 49 20 12 27
 46 48]",0,1
14,8192,1808.8333760381354,4.6154072749999955,"[47 15  3 38  5 11 31 19 46 25  9  1  8  0 14  7 26 33 13 45 48 10 37 30
 43 41 22 44  4 29 16 18 32 34  6 35 36 24 23  2 28 17 21 39 49 20 12 27
 40 42]",0,1
15,0,6347.556122957413,4.626481506000005,"[ 5  7 32 40  6 49 31 46 12 41 24 11 35 28  1 42  4 45 16 37 39  0 20 21
 18  3  8 17 34 14 25 29 38 36 33 30 26 48 13 43 10 27 47 23 44 22 15 19
  2  9]",1,1
16,1,6347.556122957413,4.626915069000006,"[ 5  7 32 40  6 49 31 46 12 41 24 11 35 28  1 42  4 45 16 37 39  0 20 21
 18  3  8 17 34 14 25 29 38 36 33 30 26 48 13 43 10 27 47 23 44 22 15 19
  2  9]",1,1
17,2,6334.392720209023,4.627389549,"[ 5  7 32 40  6 49 31 46 12 41 24 11 35 28  1 42  4 45 16 37 39  0 20 21
 18  3  8 17 34 14 25 36 38 29 33 30 26 48 13 43 10 27 47 23 44 22 15 19
  2  9]",1,1
18,4,6334.392720209023,4.628092903999999,"[ 5  7 32 40  6 49 31 46 12 41 24 11 35 28  1 42  4 45 16 37 39  0 20 21
 18  3  8 17 34 14 25 36 38 29 33 30 26 48 13 43 10 27 47 23 44 22 15 19
  2  9]",1,1
19,8,6174.248753274093,4.630090019999997,"[ 5  7 32 40  6 49 31 46 12 41 44 11 39 28  1 42  4 45 16 37 35 30 20 21
 18  3  8 17 34 14 25 36 38 29 33  0 26 48 13 43 10 27 47 23 24 22 15 19
  2  9]",1,1
20,16,5778.137006119072,4.632355989000004,"[28  7 32 30  6 49 31 46 12 41 44 11 39  5  1 42  4 45 16 37 27 40 20 21
 18  3  8 17 34  2 25 36 38 29 33  0 26 48 13 43 10 35 47 23 24 22 15 19
 14  9]",1,1
21,32,5118.84538261921,4.637316111000004,"[29  7 32 30 20 49 31 46 12 41 44 11 39  5  1 42  3 45 17 10 27 40 28 21
 18  4 35  9 34  2 25 36 38  6 33  0 26 48 13 43 37  8 47 23 24 22 15 19
 14 16]",1,1
22,64,4412.635194336436,4.645615730000003,"[29  4 32 30 20 49 31 39 12 41 44 11 27  5  1 42  3 45 17 10 46 40 15 47
 18 23 35  9 37  2 25 19 38  6 33  0 26 48 13 43 34  8 28  7 24 22 21 36
 14 16]",1,1
23,128,3695.28038634026,4.661336938000005,"[29  4 32 28 20 49 24 39 12 41 44 11 27  5  1 42  3 45  8  2 25 40 15 47
  9 23 35  6 37 10 33 19 38 46 31  0 13 48 26 43 14 17 30  7 34 22 21 18
 36 16]",1,1
24,256,2967.635996463,4.691716123999996,"[29 16 34 36 20 49 22 39 12 44 41 11 27  5 25 42  3 13 26 10  1 40 15 45
  9 30 32  6 37  2 33  0 38 46 31 19 47 48  8 43 14 17 23 28  7 21  4 18
 35 24]",1,1
25,512,2480.790479380434,4.756925516999999,"[32 29  4 36 44 22 12 39 49 20 41  0 27  5 25 46 19 13  8 26  1 40 15 45
  9 30 35  6 37  2 33 11 38  3 31 42 47 48 10 17  7 43 23 28 14 21 24 18
 16 34]",1,1
26,1024,2243.983436738325,4.906965831999997,"[32 34 36  4 44 22 12 39 49 20 41 14 27  5 25 46 19 15 26  8  1 40 13 45
 33 17 28  6 37 30  9 11 38  3 31 42 47 48 10  2 35 43 23  7  0 21 24 29
 16 18]",1,1
27,2048,1971.9891862929696,5.272477018000004,"[32 18 36  4 44 22 20 49 12 39 41 40 27 11 25 46 19 15  9  8 26 33 13 45
  7 17 28  2 37 30  1  5 38  3 31 42 47 48 10  6 35 24 23 14  0 21 43 29
 16 34]",1,1
