Iteration,Fitness,Time,State,schedule,Temperature,run_number
512,42.0,0.1506587879999941,"[1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0
 1 0 1 1 0 1 1 0 1 0 1 0 1]",10,10,0
1024,44.0,0.2909296499999954,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0
 0 1 0 0 1 0 1 0 1 0 1 0 1]",10,10,0
2048,48.0,0.5849794769999974,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0
 1 0 1 0 1 0 1 0 1 0 1 0 1]",10,10,0
4096,48.0,1.365055458999997,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 1 0 1 0 1 0 1 0 1 0 1]",10,10,0
8192,48.0,3.829272992,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0
 1 0 1 0 1 0 1 0 1 0 1 0 1]",10,10,0
0,25.0,0.00019612299999494098,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",50,50,0
1,23.0,0.0007816139999974325,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",50,50,0
2,25.0,0.0012405379999975708,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",50,50,0
4,23.0,0.0019776899999968123,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",50,50,0
8,24.0,0.0033964829999959534,"[1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",50,50,0
16,28.0,0.0058415019999955575,"[1 1 1 0 0 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 0 1 0 0
 1 0 0 0 1 0 1 1 1 1 1 0 1]",50,50,0
32,29.0,0.010561729999999159,"[1 1 1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 0
 1 0 0 1 0 1 1 1 1 1 1 1 0]",50,50,0
64,28.0,0.019968515999998715,"[0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 1
 1 1 1 0 0 1 0 0 1 1 1 1 0]",50,50,0
128,21.0,0.039148828999998386,"[0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 1 1 1 0 0
 0 0 0 0 1 1 0 0 1 0 0 0 1]",50,50,0
