Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,run_number
0,3.2018159293929243,0.23568111500026134,"[2, 1, 0]",False,3000,0.2,4096,0
1,3.2018159293929243,0.8287210080006844,"[2, 1, 0]",False,3000,0.2,4096,0
2,3.2018159293929243,1.42860336800004,"[2, 1, 0]",False,3000,0.2,4096,0
4,3.2018159293929243,2.6264130170002318,"[2, 1, 0]",False,3000,0.2,4096,0
8,3.2018159293929243,5.080382869000459,"[2, 1, 0]",False,3000,0.2,4096,0
16,3.2018159293929243,9.791929375000109,"[2, 1, 0]",False,3000,0.2,4096,0
32,3.2018159293929243,19.080904159000056,"[2, 1, 0]",False,3000,0.2,4096,0
64,3.2018159293929243,37.767590294,"[2, 1, 0]",False,3000,0.2,4096,0
128,3.2018159293929243,75.40141908500027,"[2, 1, 0]",False,3000,0.2,4096,0
256,3.2018159293929243,150.28452346199992,"[2, 1, 0]",False,3000,0.2,4096,0
512,3.2018159293929243,302.3633589050005,"[2, 1, 0]",False,3000,0.2,4096,0
1024,3.2018159293929243,609.5657670139999,"[2, 1, 0]",False,3000,0.2,4096,0
2048,3.2018159293929243,1224.546321447001,"[2, 1, 0]",False,3000,0.2,4096,0
4096,3.2018159293929243,2425.5631660139998,"[2, 1, 0]",False,3000,0.2,4096,0
0,3.2018159293929243,0.2368241570002283,"[0, 2, 1]",False,3000,0.2,4096,1
1,3.2018159293929243,0.8563967240006605,"[0, 2, 1]",False,3000,0.2,4096,1
2,3.2018159293929243,1.4514758479999728,"[0, 2, 1]",False,3000,0.2,4096,1
4,3.2018159293929243,2.598984639000264,"[0, 2, 1]",False,3000,0.2,4096,1
8,3.2018159293929243,4.863504814000407,"[0, 2, 1]",False,3000,0.2,4096,1
16,3.2018159293929243,9.488192006001555,"[0, 2, 1]",False,3000,0.2,4096,1
32,3.2018159293929243,19.11839019800027,"[0, 2, 1]",False,3000,0.2,4096,1
64,3.2018159293929243,38.508783619001406,"[0, 2, 1]",False,3000,0.2,4096,1
128,3.2018159293929243,76.6820034730008,"[0, 2, 1]",False,3000,0.2,4096,1
256,3.2018159293929243,153.60156333600025,"[0, 2, 1]",False,3000,0.2,4096,1
512,3.2018159293929243,305.48977839500003,"[0, 2, 1]",False,3000,0.2,4096,1
1024,3.2018159293929243,607.4975834820016,"[0, 2, 1]",False,3000,0.2,4096,1
2048,3.2018159293929243,1193.1531220670004,"[0, 2, 1]",False,3000,0.2,4096,1
