Iteration,Fitness,Time,State,current_restart,Restarts,run_number
512,944.0,0.09392777299999988,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5,0
1024,944.0,0.25093983399999953,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5,0
2048,944.0,0.6134246569999995,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5,0
4096,944.0,1.7571769359999996,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5,0
8192,944.0,2.6917367169999995,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,5,0
0,535.0,0.00018768300000004956,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10,0
1,535.0,0.0006938250000008139,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10,0
2,539.0,0.0011833040000013284,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10,0
4,553.0,0.001797122000001039,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10,0
8,592.0,0.0027999930000000006,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 4 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 3 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10,0
16,592.0,0.004070760000001172,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 4 4 3 0 3 0 2 3 0 1 3 3 3 1 1 1 1 3 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",0,10,0
32,654.0,0.0068653489999999096,"[4 2 3 3 3 3 3 2 4 0 0 4 2 2 0 1 1 0 4 4 3 1 3 4 2 3 0 1 3 3 3 1 1 1 1 3 3
 4 3 3 3 4 2 0 0 4 0 4 4 4]",0,10,0
64,807.0,0.011686197000001286,"[4 2 4 3 4 3 3 2 4 0 3 4 2 2 1 1 1 0 4 4 3 2 3 4 2 3 3 3 3 3 3 1 1 1 3 3 3
 4 3 3 3 4 4 3 0 4 4 4 4 4]",0,10,0
128,930.0,0.02108609300000097,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 3 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 3 3 4 4 3 1 4 4 4 4 4]",0,10,0
256,944.0,0.0410557890000014,"[4 4 4 3 4 4 3 2 4 2 3 4 3 2 1 4 1 0 4 4 4 2 3 4 4 4 3 4 4 4 3 2 1 1 3 4 4
 4 4 4 3 4 4 3 2 4 4 4 4 4]",0,10,0
