Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,run_number
8192,4.0,0.018058802999998846,"[0, 1, 0, 1, 0]",geometric,10,0.99,0.001,9.998185194343282,10,8192,2
0,2.0,0.0001213099999990419,"[0, 0, 1, 1, 0]",geometric,10,0.99,0.001,9.99998780794501,10,8192,3
1,3.0,0.0005254909999994339,"[1, 0, 1, 1, 0]",geometric,10,0.99,0.001,9.999947186529084,10,8192,3
2,2.0,0.004169117,"[0, 0, 1, 1, 0]",geometric,10,0.99,0.001,9.999580998517732,10,8192,3
4,2.0,0.008087266999998732,"[0, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.999187235536224,10,8192,3
8,2.0,0.011445278999998365,"[0, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.99884977717683,10,8192,3
16,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
32,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
64,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
128,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
256,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
512,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
1024,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
2048,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
4096,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
8192,4.0,0.014640329999998869,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998528705910871,10,8192,3
0,1.0,0.00016230099999958725,"[0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.99998368821771,10,8192,4
1,2.0,0.0006319070000007088,"[1, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.999936491425887,10,8192,4
2,1.0,0.005491448999999093,"[0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.999448106162177,10,8192,4
4,3.0,0.009540648999999846,"[0, 1, 0, 1, 1]",geometric,10,0.99,0.001,9.999041178702749,10,8192,4
8,2.0,0.013694879999999188,"[0, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.998623713282214,10,8192,4
16,1.0,0.01706584699999958,"[1, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.9982849721431,10,8192,4
32,2.0,0.023471456999999418,"[0, 0, 0, 1, 0]",geometric,10,0.99,0.001,9.997641317954587,10,8192,4
64,4.0,0.028431664999999384,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99714293039885,10,8192,4
128,4.0,0.028431664999999384,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99714293039885,10,8192,4
256,4.0,0.028431664999999384,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99714293039885,10,8192,4
512,4.0,0.028431664999999384,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99714293039885,10,8192,4
1024,4.0,0.028431664999999384,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99714293039885,10,8192,4
2048,4.0,0.028431664999999384,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99714293039885,10,8192,4
4096,4.0,0.028431664999999384,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99714293039885,10,8192,4
8192,4.0,0.028431664999999384,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99714293039885,10,8192,4
