iter,train_accuracy,test_accuracy,test_f1,fit_time,loss
1,0.6520958083832336,0.6586826347305389,0.2647412755716005,0.013564348220825195,0.7223456999870761
50,0.7137724550898203,0.7077844311377246,0.42668458781362006,0.36786317825317383,0.572367260300249
100,0.7224550898203593,0.7137724550898203,0.43667844018945196,0.7031469345092773,0.5568555015306643
200,0.7419161676646706,0.7209580838323353,0.44360673933758465,1.371216058731079,0.5356909757880657
400,0.7452095808383233,0.7281437125748503,0.45425868582504697,2.720177173614502,0.5283514083241961
800,0.7544910179640718,0.7592814371257485,0.492195833149248,5.478238105773926,0.5088885976959178
1600,0.7697604790419161,0.7616766467065869,0.4895334280085531,11.104258060455322,0.49109683787545555
3200,0.7817365269461077,0.7808383233532934,0.5038964567960741,21.931485891342163,0.4750039791828272
