Iteration,Fitness,Time,State,schedule,Temperature,run_number
512,943.0,0.06092835399999963,"[3 4 4 3 4 3 1 2 4 4 1 4 4 4 4 4 4 3 4 4 2 0 4 4 3 4 4 3 4 4 2 0 3 4 3 3 0
 3 3 4 3 4 4 3 3 3 4 4 4 4]",10,10,1
1024,943.0,0.13766336700000004,"[3 4 4 3 4 3 1 2 4 4 1 4 4 4 4 4 4 3 4 4 2 0 4 4 3 4 4 3 4 4 2 0 3 4 3 3 0
 3 3 4 3 4 4 3 3 3 4 4 4 4]",10,10,1
2048,943.0,0.32988970599999945,"[3 4 4 3 4 3 1 2 4 4 1 4 4 4 4 4 4 3 4 4 2 0 4 4 3 4 4 3 4 4 2 0 3 4 3 3 0
 3 3 4 3 4 4 3 3 3 4 4 4 4]",10,10,1
4096,943.0,0.9405125509999994,"[3 4 4 3 4 3 1 2 4 4 1 4 4 4 4 4 4 3 4 4 2 0 4 4 3 4 4 3 4 4 2 0 3 4 3 3 0
 3 3 4 3 4 4 3 3 3 4 4 4 4]",10,10,1
8192,943.0,1.5173319490000008,"[3 4 4 3 4 3 1 2 4 4 1 4 4 4 4 4 4 3 4 4 2 0 4 4 3 4 4 3 4 4 2 0 3 4 3 3 0
 3 3 4 3 4 4 3 3 3 4 4 4 4]",10,10,1
0,550.0,0.0002855149999998474,"[0 0 3 2 3 0 2 1 3 2 4 4 4 3 4 2 3 3 2 1 2 4 3 0 4 3 1 2 0 4 4 2 4 2 1 0 2
 2 1 0 1 0 2 1 1 1 4 2 3 0]",10,10,2
1,540.0,0.0009205350000005552,"[0 0 3 2 3 0 2 1 3 2 4 4 4 3 4 2 3 3 2 1 2 4 3 0 4 3 1 2 0 4 4 2 4 2 1 0 2
 2 1 0 1 0 2 0 1 1 4 2 3 0]",10,10,2
2,540.0,0.0014358300000001378,"[0 0 3 2 3 0 2 1 3 2 4 4 4 3 4 2 3 3 2 1 2 4 3 0 4 3 1 2 0 4 4 2 4 2 1 0 2
 2 1 0 1 0 2 0 1 1 4 2 3 0]",10,10,2
4,553.0,0.002780343000001295,"[0 0 3 2 3 0 2 1 3 3 4 4 4 3 4 2 3 3 2 1 2 4 3 0 4 3 1 2 0 4 4 2 4 2 1 0 2
 2 1 0 3 0 2 0 1 1 4 2 3 0]",10,10,2
8,550.0,0.003960601000001063,"[0 0 3 2 3 0 2 1 3 3 4 4 4 3 4 2 3 1 2 1 2 4 3 0 4 3 1 2 0 4 4 2 4 2 1 0 2
 3 1 0 3 0 2 0 1 1 4 2 3 0]",10,10,2
16,575.0,0.006863762000000051,"[0 0 3 2 3 0 2 1 3 3 4 4 4 3 4 2 3 1 2 1 2 3 4 0 4 3 4 2 0 4 4 2 4 2 1 0 2
 3 1 0 2 0 2 0 1 1 4 2 3 0]",10,10,2
32,624.0,0.012373916000001373,"[0 0 3 2 3 0 2 2 3 4 4 4 4 3 4 2 3 4 2 1 2 3 4 0 4 3 4 0 1 4 4 2 4 2 1 0 2
 3 1 0 2 0 2 4 1 1 4 0 3 1]",10,10,2
64,721.0,0.018507349000000062,"[0 0 3 2 3 3 2 0 3 4 4 4 4 3 4 3 3 4 2 4 3 2 4 0 3 3 4 4 4 3 4 2 4 3 1 0 3
 1 1 4 2 0 1 4 1 1 4 0 3 1]",10,10,2
