Iteration,Fitness,Time,State,schedule,Temperature,run_number
512,979.0,0.20808200900000884,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 4 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
1024,979.0,0.526808931000005,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 4 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
2048,979.0,1.120387774000008,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 4 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
4096,979.0,2.894379994000005,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 4 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
8192,979.0,4.516755128,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 4 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
0,535.0,0.000936978999988014,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",50,50,0
1,517.0,0.002436953999989555,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 2 2 0 0 4 0 4 1 4]",50,50,0
2,531.0,0.0033383389999954716,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 2 2 0 0 4 0 4 1 4]",50,50,0
4,535.0,0.004636675999989848,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 2 2 0 0 4 0 4 1 4]",50,50,0
8,507.0,0.006521741000000247,"[2 2 3 3 3 1 3 2 4 0 0 2 1 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 2 2 0 0 4 0 4 1 4]",50,50,0
