,Iteration,Fitness,Time,State,current_restart,Restarts
22,64,39.0,0.014098723000000035,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,5
23,128,39.0,0.0246671979999995,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,5
24,256,39.0,0.04765360500000071,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,5
25,512,39.0,0.09787392199999978,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,5
26,1024,39.0,0.213603109000001,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,5
27,2048,39.0,0.511924337,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,5
28,4096,39.0,1.294854302000001,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,5
29,8192,39.0,1.7554815589999997,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,5
30,0,20.0,0.00018789100000127235,"[0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0]",0,10
31,1,20.0,0.0005279640000015462,"[0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0]",0,10
