,Iteration,Time,Fitness,current_restart,Restarts
0,0,0.00012058699999961675,3.0,0,1
1,1,0.0004452100000005288,4.0,0,1
2,2,0.0007205429999999069,4.0,0,1
3,3,0.0008874539999998987,4.0,0,1
4,4,0.0010543649999998905,4.0,0,1
5,5,0.001164097749999815,4.0,0,1
6,6,0.0012738304999997396,4.0,0,1
7,7,0.0013835632499996642,4.0,0,1
8,8,0.0014932959999995887,4.0,0,1
9,9,0.0015715751249996135,4.0,0,1
10,10,0.0016498542499996383,5.0,0,1
11,11,0.001728133374999663,5.0,0,1
12,12,0.0018064124999996878,5.0,0,1
13,13,0.0018846916249997125,5.0,0,1
14,14,0.0019629707499997373,5.0,0,1
15,15,0.002041249874999762,5.0,0,1
16,16,0.002119528999999787,5.0,0,1
17,17,0.0021793303124998387,5.0,0,1
18,18,0.0022391316249998905,5.0,0,1
19,19,0.0022989329374999423,5.0,0,1
20,20,0.002358734249999994,5.0,0,1
21,21,0.002418535562500046,5.0,0,1
22,22,0.002478336875000098,5.0,0,1
23,23,0.0025381381875001496,5.0,0,1
24,24,0.0025979395000002015,5.0,0,1
25,25,0.0026577408125002533,5.0,0,1
26,26,0.002717542125000305,5.0,0,1
27,27,0.002777343437500357,5.0,0,1
28,28,0.0028371447500004088,5.0,0,1
29,29,0.0028969460625004606,5.0,0,1
30,30,0.0029567473750005124,5.0,0,1
31,31,0.0030165486875005643,5.0,0,1
32,32,0.003076350000000616,5.0,0,1
33,33,0.003129631500000618,5.0,0,1
34,34,0.00318291300000062,5.0,0,1
35,35,0.003236194500000622,5.0,0,1
36,36,0.003289476000000624,5.0,0,1
37,37,0.003342757500000626,5.0,0,1
38,38,0.003396039000000628,5.0,0,1
39,39,0.00344932050000063,5.0,0,1
40,40,0.003502602000000632,5.0,0,1
41,41,0.003555883500000634,5.0,0,1
42,42,0.003609165000000636,5.0,0,1
43,43,0.003662446500000638,5.0,0,1
44,44,0.00371572800000064,5.0,0,1
45,45,0.003769009500000642,5.0,0,1
46,46,0.003822291000000644,5.0,0,1
47,47,0.003875572500000646,5.0,0,1
48,48,0.003928854000000648,5.0,0,1
49,49,0.00398213550000065,5.0,0,1
50,50,0.004035417000000652,5.0,0,1
51,51,0.004088698500000654,5.0,0,1
52,52,0.004141980000000656,5.0,0,1
53,53,0.004195261500000658,5.0,0,1
54,54,0.00424854300000066,5.0,0,1
55,55,0.004301824500000662,5.0,0,1
56,56,0.004355106000000664,5.0,0,1
57,57,0.004408387500000666,5.0,0,1
58,58,0.004461669000000668,5.0,0,1
59,59,0.0045149505000006696,5.0,0,1
60,60,0.0045682320000006715,5.0,0,1
